bib_id,cite_key,section,pdf_page_start,pdf_page_end,abbreviation,authors_raw,year,title,publication_or_container,urls,doi,pages,type_guess,parse_confidence,raw_reference
B0783,schrader-1917-23,print,485,485,,"Schrader, Otto and Alfons Nehring",1917-23,Reallexikon der indogermanischen Altertumskunde,"Vol 1. Zweite, vermehrte und umgearbeitete Auflage. Berlin: Walter de Gruyter & Co.",,,,book_or_monograph,medium,"Schrader, Otto and Alfons Nehring. 1917-23. Reallexikon der indogermanischen Altertumskunde. Vol 1. Zweite, vermehrte und umgearbeitete Auflage. Berlin: Walter de Gruyter & Co."
B0784,schrijnen-1914,print,485,485,,"Schrijnen, Joseph",1914,Das “sabinische l” im Lateinischen,KZ 46(4): 376-80.,,,376-80,journal_article,medium,"Schrijnen, Joseph. 1914. Das “sabinische l” im Lateinischen. KZ 46(4): 376-80."
B0785,schrijver-1991,print,485,485,,"Schrijver, Peter",1991,The Reflexes of the Proto-Indo-European Laryngeals in Latin,Amsterdam: Rodopi.,,,,book_or_monograph,medium,"Schrijver, Peter. 1991. The Reflexes of the Proto-Indo-European Laryngeals in Latin. Amsterdam: Rodopi."
B0786,schrijver-1995,print,485,485,,"Schrijver, Peter",1995,Studies in British Celtic Historical Phonology,Amsterdam: Rodopi.,,,,book_or_monograph,medium,"Schrijver, Peter. 1995. Studies in British Celtic Historical Phonology. Amsterdam: Rodopi."
B0787,schrijver-1997,print,485,485,,"Schrijver, Peter",1997,"Animal, vegetable and mineral: some Western European substratum words","In Lubotsky, Alexander (ed.). Sound Law and Analogy, pp. 293-316. Amsterdam: Rodopi.",,,,chapter_or_edited_volume,medium,"Schrijver, Peter. 1997. Animal, vegetable and mineral: some Western European substratum words. In Lubotsky, Alexander (ed.). Sound Law and Analogy, pp. 293-316. Amsterdam: Rodopi."
B0788,schrijver-1999,print,485,485,,"Schrijver, Peter",1999,On Henbane and Early European Narcotics,Zeitschrift für celtische Philologie 51(1): 17-45.,,,17-45,journal_article,medium,"Schrijver, Peter. 1999. On Henbane and Early European Narcotics. Zeitschrift für celtische Philologie 51(1): 17-45."
B0789,schrijver-2001,print,485,485,,"Schrijver, Peter",2001,Lost Languages in Northern Europe,"In Carpelan, Christian, Asko Parpola, and Petteri Koskikallio (eds.). Early Contacts between Uralic and Indo-European: Linguistic and Archaeological Consideratoins, pp. 419-25. Helsinki: Suomalis-Ugrilainen Seura.",,,,chapter_or_edited_volume,medium,"Schrijver, Peter. 2001. Lost Languages in Northern Europe. In Carpelan, Christian, Asko Parpola, and Petteri Koskikallio (eds.). Early Contacts between Uralic and Indo-European: Linguistic and Archaeological Consideratoins, pp. 419-25. Helsinki: Suomalis-Ugrilainen Seura."
B0790,schrijver-2003,print,485,485,,"Schrijver, Peter",2003,Athematic i-Presents: the Italic and Celtic Evidence,Incontri Linguistici 26: 59-86.,,,59-86,journal_article,medium,"Schrijver, Peter. 2003. Athematic i-Presents: the Italic and Celtic Evidence. Incontri Linguistici 26: 59-86."
B0791,schrijver-2007,print,485,485,,"Schrijver, Peter",2007,Keltisch en de buren: 9000 jaar taalcontact,"Inaugural speech at the University of Utrecht, 7 March 2007.",,,,book_or_monograph,medium,"Schrijver, Peter. 2007. Keltisch en de buren: 9000 jaar taalcontact. Inaugural speech at the University of Utrecht, 7 March 2007."
B0792,schrijver-2015,print,485,485,,"Schrijver, Peter",2015,The Meaning of Celtic *eburos,"In Guillaume Oudaer, Gael Hily, Herve Le Bihan (eds.), Mélanges en l'honneur de Pierre-Yves Lambert, pp. 65 - 76. Utrecht : TIR.",,,,chapter_or_edited_volume,medium,"Schrijver, Peter. 2015. The Meaning of Celtic *eburos. In Guillaume Oudaer, Gael Hily, Herve Le Bihan (eds.), Mélanges en l'honneur de Pierre-Yves Lambert, pp. 65 - 76. Utrecht : TIR."
B0793,schrijver-2016,print,485,485,,"Schrijver, Peter",2016,"Sound Change, the Italo-Celtic Linguistic Unity, and the Italian Homeland of Celtic","In Koch, John T. and Barry Cunliffe (eds.). Celtic from the West 3, pp. 489-502. Oxford: Oxbow.",,,,chapter_or_edited_volume,medium,"Schrijver, Peter. 2016. Sound Change, the Italo-Celtic Linguistic Unity, and the Italian Homeland of Celtic. In Koch, John T. and Barry Cunliffe (eds.). Celtic from the West 3, pp. 489-502. Oxford: Oxbow."
B0794,schrijver-2018,print,485,486,,"Schrijver, Peter",2018,Talking Neolithic: The Case for Hatto-Minoan and its relation to Sumerian,"In Kroonen, Guus, James P. Mallory, and Bernard Comrie (eds.). Talking Neolithic: Proceedings of the workshop on Indo-European originsheld at the Max Planck Institute for Evolutionary Anthropology, Leipzig, December 2-3, 2013, pp. 336-374. Washington, DC: Institute for the Study of Man.",,,,chapter_or_edited_volume,medium,"Schrijver, Peter. 2018. Talking Neolithic: The Case for Hatto-Minoan and its relation to Sumerian. In Kroonen, Guus, James P. Mallory, and Bernard Comrie (eds.). Talking Neolithic: Proceedings of the workshop on Indo-European originsheld at the Max Planck Institute for Evolutionary Anthropology, Leipzig, December 2-3, 2013, pp. 336-374. Washington, DC: Institute for the Study of Man."
