statement_id,entry_id,pdf_page_range,section,primary_headword,entry_heading,statement_type,statement_markdown,reconstructed_forms_in_statement,glosses_in_statement,char_flags
liv2add-0034-s01,liv2add-0034,16,*d,*dekʷ-,Neu: ?*dekʷ- ‘erscheinen’,Iterativ,"Iterativ
?*dokʷ-éi̯e-
alb. vdes ‘stirbt’",*dokʷ-éi̯e-,stirbt,contains-combining-marks
liv2add-0036-s01,liv2add-0036,16-17,*d,*del(H)-,"Neu: *del(H)- ‘ziehen, anziehen’1",Präsens,"Präsens
*del(H)-e-
alb. n-djell ‘lullt ein, redet gut zu, lockt an’2",*del(H)-e-,"lullt ein, redet gut zu, lockt an",
liv2add-0037-s01,liv2add-0037,17,*d,*delg̑ʰ-,*delg̑ʰ-,Präsens,"Präsens *dl̥g̑ʰ-sk̑é-
[mkymr. deily ‘ergreift, hält (fest)’, abret. delch ‘hält’4a",*dl̥g̑ʰ-sk̑é-,"ergreift, hält (fest); hält",contains-combining-marks
liv2add-0038-s01,liv2add-0038,17,*d,*delh₁-,Neu: ?2.*delh₁- ‘verlängern’1 IEW 194-6,Präsens,"Präsens ?*dl̥h₁-éi̯o- aksl. (+) pro-dьľǫ, -dьliti ‘verlängern’",*dl̥h₁-éi̯o-,verlängern,contains-combining-marks; contains-subscript-numerals
liv2add-0040-s01,liv2add-0040,17,*d,*demh₂-,2.*demh₂-,Neubildungen,"Neubildungen:
ske-Präsens chwar. (+) δms- ‘gezähmt werden’16a",,gezähmt werden,contains-greek
liv2add-0041-s01,liv2add-0041,17,*d,*der-,*der-,Zum Präsens,"Zum Präsens auch ?chwar. bδr- ‘herausreißen, -schütteln’ (wenn < apa-dara-, SAMADI 16-7)

Zu streichen: alb. djerr (sekundäre Variante von bjerr < *dzbier-, SCHUMACHER/MATZINGER 966- 7)",*dzbier-,"herausreißen, -schütteln",contains-greek
liv2add-0042-s01,liv2add-0042,17-18,*d,*derbʰ-,*derbʰ-,Zum Präsens,Zum Präsens auch [iran. *dr̥ba- in waxi (+) drəv- ‘nähen’1a,*dr̥ba-,nähen,contains-combining-marks
liv2add-0044-s01,liv2add-0044,18,*d,*deu̯h₂-,*deu̯h₂-,Zum Präsens,Zum Präsens auch toch.A 3p Konj. (?) Med. tsnāntr- ‘setzen zusammen (?)’3a,,setzen zusammen (?),
liv2add-0046-s01,liv2add-0046,18,*d,*deu̯s-,*deu̯s-,Präsens,"Präsens
?*dus-sk̑é-
alb. duhet ‘ist notwendig; wird geliebt’",*dus-sk̑é-,ist notwendig; wird geliebt,contains-combining-marks
liv2add-0047-s01,liv2add-0047,18,*d,*dregʰ-,*dregʰ-,Aorist,"Aorist
?*drégʰ-/dr̥gʰ- [khot. Präsens Med. 3s dṛysde, 3p dṛjsāre ‘halten’1a",*drégʰ-/dr̥gʰ-,halten,contains-combining-marks
liv2add-0047-s02,liv2add-0047,18,*d,*dregʰ-,*dregʰ-,Desiderativ,"Desiderativ ?*drégʰ/dr̥gʰ-s-
[air. Konj. dress-4b",*drégʰ/dr̥gʰ-s-,,contains-combining-marks
liv2add-0048-s01,liv2add-0048,18-19,*d,*drep-,*drep-,Zum Präsens,Zum Präsens *drép-e- auch ?parth. (+) drb- ‘(Kleider) anziehen’2a,*drép-e-,(Kleider) anziehen,
liv2add-0048-s02,liv2add-0048,18-19,*d,*drep-,*drep-,Iterativ,"Iterativ
?*drop-éi̯o-
iran. *drāpaya-: waxi drïp- ‘kämmen, kratzen’3a",*drop-éi̯o-; *drāpaya-,"kämmen, kratzen",contains-combining-marks
