entry,section,pdf_page,field,content,line_start,extracted_star_forms,flags
angis,Lithuanian,69,BSL,*angi(o)s,1159,*angi(o,
angis,Lithuanian,69,PSL,*pŽb m. jo (b) 'snake',1161,*pŽb m. jo (b,contains_non_ascii
angis,Lithuanian,69,SL,"Ru. už, Gsg. uža; ORu. užb; Pl. wąž, Gsg. węža; SCr. Čak. lfiJš (Orb.) 'kind of black snake', Gsg. !!ožii; Sln. pž 'grass snake'; v{iž 'snake'",1163,,contains_non_ascii;unusual_symbol_for_manual_check
angis,Lithuanian,69,PIE,*h2engwh_j_,1165,*h2engwh_j_,
angis,Lithuanian,69,IE,Lat. anguis m. 'snake'; Mlr. escung m. 'eel'; OHG unc m. 'snake'; Arm. awj 'snake',1167,,
anglis,Lithuanian,69,LITH,anglis f.(i) 4 [2/4] 'coal'; VAR afiglis m.(io) 2 [1/2],1173,,
anglis,Lithuanian,69,LATV,"uogle [uo, uo2, uo2] 'coal'; VAR uogls2 f.(i); uoglis2 [uo2, uo2]",1175,,
anglis,Lithuanian,69,BSL,*on(glis,1177,*on(glis,
anglis,Lithuanian,69,PSL,*pglb m. i (a) 'coal',1179,*pglb m. i (a,
anglis,Lithuanian,69,SL,"OCS pglb m.(i); Ru. ugol' m.(jo ), Gsg. uglja, Gsg. uglja; Cz. uhel m.(jo ); Slk. uhol' m.(jo ); Pl. węgiel m.( jo); SCr. ugalj m.(jo ), Gsg. uglja; ugljen m.( o), Gsg. ugljena; Čak. ugfen (Vrg.) m.( o), Gsg. ugfena; Sln. {ig<Jl m.( o), Gsg. {igla; v{ig<Jl m.( o), Gsg. v{igla",1181,,contains_non_ascii;unusual_symbol_for_manual_check
anglis,Lithuanian,69,PIE,*h1ongw-[_,1183,*h1ongw-[_,
anglis,Lithuanian,69,IE,Skt. angara- m. 'coal',1185,,broken_reconstruction_spacing
angus,Lithuanian,69,LITH,"angus (Žem.) 4 'lazy, hard to thresh, hard to kili, tough'",1191,,contains_non_ascii
anyta,Lithuanian,69,LITH,anyta l 'mother-in-law (husband's mother)',1197,,
anyta,Lithuanian,69,OPR,ane (EV) 'grandmother',1199,,
anyta,Lithuanian,69,PIE,*h2enH-,1201,*h2enH-,
anyta,Lithuanian,69,IE,Hitt. banna- e. 'grandmother'; Gk. avv(c; (Hsch.) f. 'mother-in-law'; Lat. anus f. 'old woman',1203,,broken_reconstruction_spacing
anka,Lithuanian,70,LITH,"anka (K., Ness., dial.) l 'loop, ring'",1211,,
anka,Lithuanian,70,LATV,anka 'rope used to fasten a sail to the mast',1212,,
anka,Lithuanian,70,BSL,*onk-PSL *pkott> f. i,1213,*onk-PSL *pkott> f. i,fused_field_label;unusual_symbol_for_manual_check
anka,Lithuanian,70,SL,"SerbCS pkot1:> f.(i) 'hook'; ORu. ukott> f.(i) 'claw, anchor'",1214,,unusual_symbol_for_manual_check
anka,Lithuanian,70,IE,"Skt. anka- m. 'hook, clamp'; Gk. oyKo<; m. 'barb of an arrow'; Lat. uncus 'hook m.",1216,,broken_reconstruction_spacing;unusual_symbol_for_manual_check
anksti,Lithuanian,70,LITH,"anksti 'early, prematurely'; VAR ankstie 'early'",1222,,
ankštas,Lithuanian,70,LITH,ankštas 4 'narrow',1228,,contains_non_ascii
ankštas,Lithuanian,70,BSL,*anž-(u)-PSL *pzoko adj. o 'narrow',1230,*anž-(u | *pzoko adj. o 'narrow',contains_non_ascii
ankštas,Lithuanian,70,SL,OCS pzoko; Ru. uzkij; Cz. uzkf; Slk. uzky; PI. wqski; SCr. uzak; Sln. i;Jzak,1231,,
ankštas,Lithuanian,70,PIE,*h2emgh-u-IE Skt. arrzhu-; Lat. angustus; Go. aggwus,1232,*h2emgh-u-IE Skt. arrzhu-,fused_field_label
ankštiras,Lithuanian,70,LITH,"ankštiras 2 [2/3•] 'blackhead, larva in the skin of an animal'; VAR ankštara i; ankštaras I; ankštera I; ankšteras (Sirv.)",1238,,contains_non_ascii
ankštiras,Lithuanian,70,LATV,"anksteri Npl. 'maggots, larvae'",1239,,
ankštiras,Lithuanian,70,OPR,anxdris (EV) 'adder',1240,,
ankštis,Lithuanian,70,LITH,ankštis f.(i) i 'pod'; VAR ankštis (C) m.(io),1248,,contains_non_ascii
ant,Lithuanian,71,LITH,"ant prep. 'on, upon, towards'; VAR anta (OLith.); anta ( dial.)",1256,,
ant,Lithuanian,71,PIE,*h2ent,1258,*h2ent,
ant,Lithuanian,71,IE,"Hitt. bant- 'forehead, front'; banza 'in front'; Skt. anti 'before, near, facing'; Gk. avT[ 'opposed, facing'; čivrn 'face to face'",1259,,contains_non_ascii
antis l,Lithuanian,71,LITH,antis f.(i) l 'duck',1265,,
antis l,Lithuanian,71,OPR,antis (EV) 'duck',1266,,
antis l,Lithuanian,71,BSL,*an(t-PSL *9ty f. ū 'duck',1267,*an(t-PSL *9ty f. ū,contains_non_ascii;fused_field_label
antis l,Lithuanian,71,SL,"CS 9ty; Ru. utka; ORu. uty, Gsg. ut'bve; SCr. utva; Sln. Ųtva",1268,,contains_non_ascii
antis l,Lithuanian,71,PIE,*h2enh2+,1270,*h2enh2+,broken_reconstruction_spacing
