type	key_or_author	entry
reference	Bouckaert,	Bouckaert, R., P. Lemey, M. Dunn, S. J. Greenhill, A. V. Alekseyenko, A. J. Drummond, R. D. Gray,
reference	M. A. Suchard & Q. D. Atkinson	M. A. Suchard & Q. D. Atkinson 2012 ‘Mapping the Origins and Expansion of the Indo-European Language Family’, Science 337, 957–60. http://dx.doi. org/10.1126/science.1219669
reference	Bouckaert,	Bouckaert, R., P. Lemey, M. Dunn, S.J. Greenhill, A. V. Alekseyenko, A. J. Drummond, R. D. Gray, M.
reference	A. Suchard & Q. D. Atkinson	A. Suchard & Q. D. Atkinson 2013 ‘Correction to:
reference	Mapping the Origins and Expansion of the Indo-European Language Family’, Science 342	Mapping the Origins and Expansion of the Indo-European Language Family’, Science 342, 1446. http://dx.doi.org/10.1126/science.342.6165.1446-a
reference	Brandherm, D.	Brandherm, D. 2013a ‘Westward Ho? Sword-Bearers and All the Rest of it ...’, Celtic from the West 2: Rethinking the Bronze Age and the Arrival of Indo-European in Atlantic Europe, Celtic Studies Publications 16, ed. J. T. Koch & B. Cunliffe, 147–156.
reference	Oxford,	Oxford, Oxbow Books.
reference	Brandherm, D.	Brandherm, D. 2013b ‘Mediterranes, Atlantisches und Kontinentales in der bronze- und ältereisenzeitlichen Stelenkunst der Iberischen Halbinsel’, Petasos: Festschift für Hans Lohmann, ed. G. Kalaitzoglou & G. Lüdorf, 131–48. Paderborn, Fink & Schöningh.
reference	Bochum,	Bochum, Ruhr-Universität.
reference	Brandherm, D.	Brandherm, D. 2016 ‘Stelae, funerary practice, and group identities in the Bronze and Iron Ages of SW Iberia. A moyenne durée perspective’, Celtic from the West 3: Atlantic Europe in the Metal Ages — questions of shared language, ed. J. Koch, et al., 179–216. Oxford, Oxbow Books.
reference	Brown, D. R., D. W. Anthony	Brown, D. R., D. W. Anthony 2019 ‘Late Bronze Age midwinter dog sacrifices and warrior initiations at Krasnosamarskoe, Russia’, Tracing the Indo-Europeans: New evidence for archaeology and historical linguistics, ed. B. A. Olsen, T. Olander, & K. Kristiansen, 97–122. Oxford, Oxbow Books.
reference	Brunel,	Brunel, S., E. A. Bennetta, L. Cardina, D. Garrauda, H. Barrand Emam, A. Beyliere, B. Boulesting, F. Chenald, E. Ciesielskif, F. Convertini, Bernard Dedet, S. Desbrosse-Degobertiereh, S. Desenne, J. Dubouloz, H. Duday, G. Escalon, V. Fabre, E. Gailledrat, M. l. Gandelin, Y. Gleizeg, S. Goepfert, J. Guilaine, L. Hachem, M. Ilett, F. Lambach, F. Maziere, B. Perrinc, S. Plouin, E.Pinard, I. Praudh, I. Richard, V. Riquier, R. Roure, B. Sendra, C. Thevenet, S. Thiol, E. Vauquelin, L. Vergnaud,
reference	T. Grangea, E.-M. Geigla, & M. Pruvost	T. Grangea, E.-M. Geigla, & M. Pruvost 2020 ‘Ancient genomes from present-day France unveil 7,000 years of its demographic history’ www. pnas.org/cgi/doi/10.1073/pnas.1918034117
reference	Búa, J. C.	Búa, J. C. 2000 ‘Estudio de la teonimia lusitano- gallega’, Universidad de Salamanca, Tesis doctoral inédita.
