line,pdf_page,category,matches,context
883,037,suspicious_greek_ocr,9oc;,"• \*aila- n. 'fire': OE al < \*ailla- < \*h₂eidh-/o-, cf. Skt. edha- m. 'firewood', Gr. cxT'9oc; m. 'firebrand'"
891,038,suspicious_greek_ocr,8;,<!-- pdf-page: 038; section: intro -->
907,039,suspicious_greek_ocr,9;,<!-- pdf-page: 039; section: dictionary -->
915,039,suspicious_greek_ocr,q,"An adverb and preposition representing a fossilized allative case \*h₂p-ó to an ablauting root noun \*h₂ép-s, gen. \*h₂p-ós (cf. Skt. *paś-cād*, Lith. *pas-kuĩ* ‘after’). Like Germanic, most Indo-European languages generalized the full-grade root from the strong cases, but the regular zero-grade allative form \*h₂p-ó has been preserved by OCS *po*, Ru. *po*, SCr. *po* prep. ‘after, on, by, at’ < PSlav. \*po and can also be retrieved from WGm. \*fanē (q.v.)."
919,039,suspicious_greek_ocr,1;,"An *n*-stem that in view of the Go. gen.pl. *abne* seems to have belonged to the type of e.g. \*uhsan- ‘ox’ < \*uksén-. No certain Indo-European etymology. Some have compared the root \*h₃ep- ‘to labor, be powerful’ (cf. Lehmann 1986: 1; Johnsen 2005), for which see \*afla- 1, but it is much more likely that we are dealing with a nursery word, cf. Etr. *apa* ‘father’."
923,039,suspicious_greek_ocr,q; q,"This verb has often been analyzed as a derivation from the oblique stem of a PIE heteroclitic \*h₂ép-r, gen. \*h₂p-n-ós-, cf. Hitt. *ḫappar-* n. ‘business, trade’ (recently Johnsen 2005), and thus as a cognate of e.g. \*afla- 1 ‘strength’ (q.v.). This is problematic because the Hittite word is no heteroclitic, but simply an *r*-stem. I therefore rather derive the verb from \*aba ‘from, off’ with the same suffix \*-njan- as found in e.g. OHG *terchinen* ‘to obscure, soil, defile’ < \*darknjan- (s"
927,039,suspicious_greek_ocr,q,"Within Germanic, the adjective appears to be related to \*afla- 1 ‘strength’ (q.v.) as well as to the secondary vṛddhi-formation ON *œfr* adj. ‘vehement’ <"
929,040,suspicious_greek_ocr,0;,<!-- pdf-page: 040; section: dictionary -->
935,040,suspicious_greek_ocr,8;,"\*adesan- m. 'adze' - OE adesa, eadesa m., adese f. 'id.', E adze ⇒ \*Hodh-es-on- (IE) - Hitt. ates(fo)- n./c. 'adze, axe, hatchet'. An ancient Indo-European word for 'adze' or 'axe' (Cop 1955: 406-7). There are no formal irregularities that could point to a (pre-historic) Wanderwort (thus Puhvel 1984: 227-8; Liberman 2008: 1-3)."
937,040,slash_in_headword,\*a/era-,"\*a/era- prep., adv. 'behind, later' - Go. afar prep. 'after, according to', OHG avar, afar adv., conj. 'but', MHG aver, aber adv., conj. 'then again, but', G aber conj. 'but' ⇒ \*h₂ep-ero- (IE) - Skt. cipara-, Av. apara-, OP apara- adj. 'posterior, later' < \*h₂ep-ero-; Skt. aparcim, Av. aparam adv. 'later, in future' < \*h₂ep-er6m. The comparative of the original adverb \*h₂ep6, for which see \*aba. The accentual distinction between Skt. cipara- and aparcim is possibly mirrored by the oppositi"
941,041,suspicious_greek_ocr,1;,<!-- pdf-page: 041; section: dictionary -->
945,041,suspicious_greek_ocr,q,"\*after[i) prep., adv. 'behind' - ON eftir prep., adv. 'id.', Far. eftir prep., adv. 'id.', OE refter prep. 'id.', E after, OFri. efter prep., adv. 'id.', Du. achter prep. 'id.', OHG aftar prep. 'id.', MHG after prep. 'id.' ⇒ \*h₂ep-tero- (IE) - Skt apataram adv. 'farther off, OP apataram adv. 'farther off, outside (of)' < \*h₂epo-tero-. An adverbial formation to \*aba (q.v.), created with the contrastive suffix \*-tero-."
947,041,suspicious_greek_ocr,Q; q,"\*agalaitja- adj. 'licentious' - OS agaleto adv. 'eagerly, diligently', OHG agaleizi adj. 'importunate' (GM). A haplologized compound of the elements \*agla- 'shameful' and \*/aitja( continued as G Rhnl. leizig adj. 'annoying; excited'). The word has formerly been analyzed as \*agla- + \*ait-, but the second element is neither a word nor a suffix, which leaves the analysis unsatisfactory (cf. Lehmann 1986: 10). Also cf. Go. aglaiti n. 'debauchery, licentiousness, dissipation', QHG agaleizi n. 'e"
953,042,suspicious_greek_ocr,2;,<!-- pdf-page: 042; section: dictionary -->
955,042,suspicious_greek_ocr,q; 4uc;,"\*agipo- f. 'harrow' - OE egede f. 'id.', OFri. eide f. 'id.', OS egitha f. 'id.', MDu. egede, eegde, eg f. 'id.', OHG egida f. 'id.', MHG egede, egde f. 'id.' ⇒ \*ok-et(EUR) - OPru. aketes, Lith. akJCios f.pl. 'harrow' (with -J- after akJti 'to harrow'); Lat occa f. 'harrow' ( < \*otek-eh₂-), W aged 'id.'. A European word. The form \*agiflo- may be a remodeling of \*agefli-, the equivalent of \*oteki- as found in the other languages; synchronically it looks like a derivation from \*agjan-, cf. "
961,042,slash_in_headword,\*ag/kkon-,"\*ag/kkon- f. 'magpie' - OE age, agu f. 'id.', WFri. akke c. 'id.', OHG aga(?) f. 'id.', MHG age f. 'id.' (GM). The co-occurrence of OE age < \*agon- and WFri. akke < \*akkon- could point to an old n-stem paradigm nom. \*ago, gen. \*akkaz < \*H6gh-on, \*Hogh-n-6s. The word further occurs in a compound with \*star(r)a(n)- in the other WGm. languages, cf. OS agastria, MLG he(g)ister, MDu. exter, aecster, Du. ekster 'id.' < \*aga-str-jon-. OHG agalstra, egilistra, G Elster, on the other hand, was c"
965,043,suspicious_greek_ocr,3;,<!-- pdf-page: 043; section: dictionary -->
973,043,suspicious_greek_ocr,q,"\*ahano- - \*agano- f. 'chaff, awns' - Go. ahana f. 'chaff, ON pgn f. 'id.', Far. egn f. 'awn, beard of barley', Elfd. aungen f. 'id.', OE reg nan f.pl. 'awns, chaff, refuse', E awns, OHG agana f. 'chaff, awn, straw', G Ahne f. 'fiber from hemp or flax' ⇒ \*h₂er1f.l-on-eh₂- (IE) - Close to Lat agna f. 'ear of grain' < \* h₂eClf.l-e/on-eh₂- (the absence of Thurneysen's law points to syncope, Jürgen van den Heuvel, p.c.); also cf. Gr. iiKwv, -ovTo<; m. 'javelin, dart', OPru. ackons 'awn' < \*h₂ek-"
981,044,suspicious_greek_ocr,4;,<!-- pdf-page: 044; section: dictionary -->
987,044,suspicious_greek_ocr,q; q,"\*ahjan- w.v. 'to think' - Go. ahjan w.v. 'to assume, think' (GM). No clear etymology. The verb is obviously related to Go. aha m. 'mind, understanding' < \*ahan-, Go. ahma m. 'spirit' < \*ahman- and PGm. \*ahto'attention' ( q.v.), but it lacks clear extra-Gm. cognates. The connections with \*augon- 'eye' < \*h₃e'J<w- (Osthoff 1910: 175) and Gr. oKVo<; m. 'hesitation, shrinking' (Pokorny IEW: 774) do not convince, at any rate. Theoretically, the verb could be identical to ON reja w.v. 'to graze'"
995,045,suspicious_greek_ocr,5;,<!-- pdf-page: 045; section: dictionary -->
999,045,suspicious_greek_ocr,q,"\*ahtudan- num. 'eighth' - Go. ahtuda num. 'id.', ON atti, attandi, attundi num. 'id.', Far. attandi num. 'id.', Elfd. dttund num. 'id.', OE eahtooa num. 'id.', E eighth, OFri. achtenda, achtunda, achtanda num. 'id.', OS ahtodo num. 'id.', Du. achtste num. 'id.', OHG ahtodo num. 'id.', G achte num. 'id.' ⇒ \*h₂eKt-h₃u-tHo- (IE) - ToA oktiint, ToB oktante num. 'eighth' < \*h₃eKt-h₃-ntHo-; Skt. a$tama-, YAv. astama-, Oss. restrem, Lith. iismas, OCS osm'b, Ru. vos'm6j, SCr. osmi num. 'id.' < \*h₃e/"
1003,045,suspicious_greek_ocr,q,"\*ahwo- f. 'river' - Go. afva f. 'body of water, river', ON a f. 'river', Far. a f. 'river; stream, brook', Elfd. d f. 'id.', OE ea f. 'stream', OS aha f. 'water, river', OHG aha f. 'river', MHG ahe f. 'id.' ⇒ \*h₂ekw-eh₂- (EUR) - Identical to Lat. aqua f. 'water'. A Germanic-Italic isogloss. The word has been claimed to stem from a non-IE language (Beekes 1998), but it is more likely to be a formal variant of Hitt bapa- c. 'river', Skt ap-, OAv. ap- f. 'water' < \*h₂ep-, Lat. amnis f. 'stream, "
1007,046,suspicious_greek_ocr,6;,<!-- pdf-page: 046; section: dictionary -->
1015,046,suspicious_greek_ocr,q; q,"\*aigan- pret.-pres. 'to own, possess' - Go. aigan, 3sg. aih, aig, 3pl. aigun, aihun pret.-pres. 'id.', ON eiga, 3sg. a, 3pl. eigu pret.-pres. 'to own, possess; to have', Far. eiga, 3sg. eigur, 3pl. eiga pret.-pres. 'id.', Elfd. iega w.v. 'to possess', OE iigan, 3sg. ah, 3pl. agon pret.-pres. 'id.', E to owe, OFri. aga, 3sg. ag, eg, 3pl. aga, ega pret.-pres. 'to be obliged, owe, possess', OS egan, 3pl. egun pret.-pres. 'to own, possess; to have', OHG eigan, heigan, 3pl. eigun pret.-pres. 'to hav"
1017,046,suspicious_greek_ocr,q,"\*aigena- adj. 'own' - ON eiginn adj. 'id.', Far. egin adj. 'id.', Elfd. iegen adj. 'id.', OE agen adj. 'id.', E own, OFri. ain, Jin adj. 'id.', OS egan adj. 'id.', Du. eigen adj. 'id.', OHG eigan adj. 'id.', G eigen adj. 'id.' (DRV). An adjective derived from \*aigan- (q.v.), whence Go. ga-aiginon, eigenen w.v. 'to make one's own, to appropriate' < \*aigeniijan-. Also cf. Go. aigin, ON eigin, OE iigen, OFri. ain, ein, OS egan, OHG eigan n. 'property'."
1019,047,suspicious_greek_ocr,7;,<!-- pdf-page: 047; section: dictionary -->
1021,047,suspicious_greek_ocr,q,"\*aiginp- n. 'shoot, barb' - ON ei9in n. 'new sprout of corn', Far. e9i n. 'corn, straw; sprout, shoot; barleyfield', Nw. eiend(e) f./n. 'grain germ, barb', Sw. dial. ii.jen(ne) n. 'grain, insignificant thing' ⇒ \*h₂eik-ent-(?) (IE). Related to \*ai9/a- 'barb' (q.v.). The exact derivation of the word is unclear. Nw. eiend(e) and Sw. ii.jenne probably point to ON \*ei9endi < \*ai9indja- < \*h₂ei/(-ent-io-(?), but ON ei9in lacks the dental and Far. e9i does not even show a trace of the final n. Al"
