headword,homonym,grammatical_label,gloss,pdf_page,distribution_label,proto_or_comparison_field,first_attestations,verification_status,flags
Pranha-,,adj.,dirty,584,IE,\*tr6nli-o- (IE),"!eel. prar adj. 'rancid', Far. traur adj. 'id.', Nw. trri adj. 'id.', OE proh adj. 'id.'",pdf-text-headword-found,suspicious-headword-characters
prapp/bon-,,w.v.,to trot,584,,,"Elfd. trrivri w.v. 'id.', OE prafian w.v. 'to urge, press', OS thra'bon w.v. 'to trot', EDu. draven, drabben 'id.', Du. draven, dial.",pdf-text-headword-found,suspicious-headword-characters; no-proto-arrow-or-distribution-detected
prastu-,545,"drabben 'id.', MHG draben w.v. 'id.' ⇒ \*trop-neh₂- (EUR)",,585,grapes,,"Formally identical to Lith. trapinhi 'to kick' < \*trop-n(e)h₂-; also cf. OPru. trapt 'to trample'; Ru. dial. tropat' 'to trample, stamp' < \*trop-ehrie-; Ru. tropa f. 'path' < \*trop-eh₂and Gr. TpmtE:w 'to press (grapes)' < \*trp-eie-. An old iterative formation \*trop-neh₂-. Also cf. E thrave 'herd' < \*prabo-, which is formally identical to Ru. tropa < \*trop-eh₂-. The original meaning of the root was 'to trample'.",pdf-text-headword-found,missing-or-unparsed-gloss
prastu-,,m.,thrush,585,EUR,\*trozd-u- (EUR),"ON prpstr m. 'id.', Far. trustur m. 'id.', Elfd. trast m. 'id.', OE prysce, prcesce f. 'id.', E thrush, OHG drosca f. 'id.', G Droschel f. 'id.'",pdf-text-headword-found,
Prautjan-,,w.v.,to exhaust,585,NEUR,\*troud-eie(NEUR),"ON preyta w.v. 'to strive, struggle', Far. troyta w.v. 'to complete; to drag on, exert one's strength; to exhaust'",pdf-text-headword-found,suspicious-headword-characters
prawjan-,,w.v.,to grow,585,IE,\*tr6uH-ie- (IE),"OHG trowwen s./w.v. 'to grow (up)', MHG ge-drouwen past ptc. 'grown'",pdf-text-headword-found,
Prawo-,,f.,"longing, suffering",585,,,"ON pra f. 'longing, yearning', OE prea f. 'rebuke, threat; punishment; infliction', OS thrii-werk n. 'pain', OHG drawa, drowa, dr6a f. 'threat, blame, burden', MHG dro(u)we, dr6 f. 'threat' ",pdf-text-headword-found,suspicious-headword-characters; no-proto-arrow-or-distribution-detected
trouH-eh₂-,,(NEUR),,586,triv6ju,,"Lith. triv6ti (triv6ju) 'to endure' < \*truH-ehi-ie- (with a secondary zero-grade +?). In ablaut relation to \*proen- (q.v.). Also cf. the denominal ON pra w.v. 'to long', OS gi-throon w.v. 'to threaten' < \*prawojan- and ON preyja w.v. 'to long', OHG drewen, drouwen, G drohen w.v. 'to threaten' < \*praujan-. ON prar adj. 'stubborn, obstinate' < \*prawa- < \*trouH-o- seems to be more primary.",not-found-in-pdf-text-layer,suspicious-headword-characters; missing-or-unparsed-gloss
/Jrean-,,s.v.,to turn,586,EUR,\*treh₁-e (EUR),"OE prii.wan s.v. 'to twist, turn; to throw', E to throw, OFri. drii.ia w.v. 'to turn', Du. draaien w.v. 'id.', OHG drii.en s.v. 'id.', G drehen w.v. 'id.'",pdf-text-headword-found,suspicious-headword-characters
Predu-,,m.,thread,586,ORV,,"ON praor m. 'id.', OE prii!d m. 'id.', E thread, OFri. thred m. 'id.', MDu. draet m. 'id.', Du. draad c. 'id.', OHG drii.t m. 'id.', G Draht m. 'id.' (ORV). A tu-stem derived from the strong verb \*prean- ( q.v.).",pdf-text-headword-found,suspicious-headword-characters; no-proto-arrow-or-distribution-detected
Preutan-,,s.v.,to bother,586,NEUR,\*treud-e- (NEUR),"Go. us-priutan s.v. 'to harass, bother, persecute', ON prj6ta s.v. (imp.) 'to fail, come to an end, become exhausted', Far. tr6ta s.v. 'id.', OE preotan s.v. 'to weary', MLG dreten, vor-dreten s.v. 'to annoy', Du. ver-drieten 'to make sad', OHG bi-driozan s.v. (imp.) 'to weary, trouble', G ver-drieflen s.v. 'to annoy'",pdf-text-headword-found,suspicious-headword-characters
/Jrewan-,,s.v.,"to grow, thrive",586,IE,\*treuH-e(IE),OHG driuwan s.v. 'to thrive',pdf-text-headword-found,suspicious-headword-characters
/Jri-,,num.,three,586,IE,\*trei- (IE),"Go. preis\*, acc. Prins, n. prija, gen. prije, dat. prim num. 'id.', ON prir, acc. prja, f. prjar, n. prju, gen. priggja, dat. Prim(r}, prem(r) num. 'id.', Far. triggir, acc. trfggjar, f. trfggjar, n. try, gen. trfggja, dat. trimum n. 'id.', Elfd. trair, acc. tril/O, f. trjdr, n. tray, dat. trim num. 'id.', OE pr!, f./n. prfo, Preo num. 'id.', E three, OFri. thre num. 'id.', OS thria, threa, n. thriu num. 'id.', Du. drie num. 'id.', OHG drf, drfe f. drfo, n. driu num. 'id.', G drei num. 'id.'",pdf-text-headword-found,suspicious-headword-characters
pridjan-,,num.,third,587,IE,\*tri-tiHo- (IE),"Go. pridja num. 'id.', ON prioi num. 'id.', Far. trioi num. 'id.', Elfd. trio num. 'id.', OE pridda num. 'id.', E third, OFri. thredda num. 'id.', OS thriddio num. 'id.', Du. derde num. 'id.', OHG dritto num. 'id.', G dritte num. 'id.'",pdf-text-headword-found,
Prifan-,,s.v.,to seize,587,GM,\*treip-e- (GM),"ON prifa s.v. 'to catch, grasp', refl. 'to thrive, grow', Far. trfva s.v. 'to seize, grip, grasp', Nw. triva s.v. 'to snatch'",pdf-text-headword-found,suspicious-headword-characters
Prinhan-,,s.v.,to press,587,NEUR,\*trenkw·e- (NEUR),"Go. preihan s.v. 'to press, crowd', ON pryngva s.v. 'to press, thrust; to rush', Nw. trenga, tr¢nga s.v. 'to need', OE pringan s.v. 'to press, crowd throng', OS thringan s.v. 'to press, urge', Du. dringen s.v. 'id.', OHG dringan s.v. 'id.', G dringen s.v. 'id.'",pdf-text-headword-found,suspicious-headword-characters
Prippjbon-,,w.v.,to seize,587,GM,\*trip-nehr (GM),"ON prifa w.v. 'to seize', lcel. prijla w.v. 'to touch, feel, finger', Nw. trip/a w.v. 'to finger, touch upon', trivia w.v. 'to grope, feel tentatively', ODa. threve 'to seize', Da. treve, trreve, trave 'to fumble, grope'",pdf-text-headword-found,suspicious-headword-characters
prodjan-,,w.v.,to train(?),587,EUR?,,"Go. propjan w.v. 'to exercise, train, drill' (EUR?) - MW trawd adj. 'weak' < \*troH-to-; Lith. tr6tinti 'to irritate' < \*troHt-nehr. Formation unclear. If MW trawd belongs here, the verb could be a factitive to a lost adjective \*fm5da- 'exhausted'.",pdf-text-headword-found,
Proen-,,w.v.,to endure,588,NEUR,,"OE f:m5wian w.v. 'to endure', OHG druoen w.v. 'to suffer' (NEUR) - Lith. triv6ti (triv6ju) 'to endure' < \*truH-eh₂-ie- (with a secondary zero-grade -i-). A stative probably derived from a lost adjective \*/m5a-, cf. OHG druoa f. 'burden' < \*proo-. Related to \*prawo- (q.v.).",pdf-text-headword-found,suspicious-headword-characters
Pruban-,,m.,cluster,588,IE,\*trup-on(IE),MDu. drubbel m. 'cluster (of plants)',pdf-text-headword-found,suspicious-headword-characters
/Jrunhta-,,m.,hardship(?),588,GM,,"ON pr6ttr m. 'stamina, strength', OE proht m. 'oppression, hardship' (GM). A tu-stem probably related to OE ge-prjin w.v. 'to contrain, restrain, repress' < \*pruhjan-. Also cf. OE proht adj. 'oppressive, grievous' and ON i-pr6tt f. 'skill, accomplishment'.",pdf-text-headword-found,suspicious-headword-characters
Prutton-,,w.v.,to exhaust,588,NEUR,\*trud-neh:r (NEUR),"G dial. trotzen w.v. 'to over-exploit' (DWB: 22, 1115)",pdf-text-headword-found,suspicious-headword-characters
Prupi-,,f.,strength,588,DRY,\*truH-ti- (DRY),"ON pruo- 'id.', OE prjio f. 'id.'",pdf-text-headword-found,suspicious-headword-characters
Pruwen-,,w.v.,"to thrive, mature",588,DRY,\*truH-eh₂-ie- (DRY),"ON pr6a-st w.v. 'to increase, grow'",pdf-text-headword-found,suspicious-headword-characters
Pii,,pron.,you,589,IE,\*tuH (IE),"Go. /Ju, dat pus, acc. puk 'id.', ON /Ju, dat per, acc. pik pron. 'id.', Far. tu, obi. teg pron. 'id.', Elfd. du, obi. dig pron. 'id.', OE pit, obi. pe, acc. pee, pe pron. 'id.', OFri. thu, obi. thi pron. 'id.', OS thu, obi. thf, acc. thik pron. 'id.', MDu. du, obi. dij pron. 'id.', OHG du, dat. dir, acc. dih pron. 'id.', G du, dat dir, acc. dich pron. 'id.'",pdf-text-headword-found,suspicious-headword-characters
Pufton-,,f.,"thwart, rowing bench",589,GM?,\*tup-t-eh₂- (GM?),"ON j:Jofta f. 'id.', OE j:Joft, j:Jofte f. 'id.', MLG ducht f. 'thwart', MDu. dochte f. 'id.', Du. doft c. 'id.', OHG dofta f. 'id.'",pdf-text-headword-found,suspicious-headword-characters
Puka/on-,,m./f.,"fog, mist",589,GM,,"ON poka f. 'id.', Far. toka f. 'id.', MLG dake m. 'id.', Du. dial. dook m. 'id.' (GM). An exclusively Germanic word: the only serious extra-Germanic comparandum, Latv. tuce 'cloud', looks like a loanword from Slav. \*t9ca 'cloud, rain' (for which see \*j:Jinhwon- 'thunder'). Within Germanic, further cf. OE puxian w.v. 'to make misty' < \*j:Jusk6jan-, apparently derived from an unattested noun \*j:Juk-ska-, and OSw. thukna, thekn, Sw. tockna f., tocken n./f. 'mist' < \*j:Jukina/6- or \*j:Jaukina/6- (Hellquist 1922: 1051). The unrelated Far. tjukn f. 'darkening of the sky; thicket', brodda-tjukn f. 'heavy shower', Nw. dial. tjukkn f. 'fog' < \*j:Jekwino- was derived from ON pykkr, j:Jjukkr adj…",pdf-text-headword-found,suspicious-headword-characters
puk(k)on-,,w.v.,to shove,589,,,"ON pokka w.v. 'to move', Ice!. pok(k)a w.v. 'to move slowly/slightly; to fall back, make room for', Far. toka w.v. 'to force, press, push, advance', Nw. tok(k)a w.v. 'to move, shove', OE pocerian w.v. 'to",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
Puli-,,m.,reciter,590,IE?,,"ON pulr m. 'sage', OE pyle m. 'orator, spokesman' (IE?) - To Hitt. tulija- (c.) 'gathering, assembly' < \*tul-io-? Related to ON pylja w.v. 'to speak, recite, murmur' < \*puljan- and OE ge-pyll 'breeze' < \*pulja-. The etymological cluster exhibits meanings such as 'to talk', 'to rattle off but also 'to sing'. It has therefore been connected with Hitt tallija-zi 'to pray to, to evoke (a deity)' (Polome 1975: 661-2), thus pointing to a root \*t/H- possibly connected with IE oral tradition (Brink 2005: 88). The Hittite verb is usually compared to PGm. \*taljan- (for which see \*ta/a-), however, and is incompatible with the ablauting \*pau/a{n)- < \*toul-o{n)-. I therefore tentatively connect H…",pdf-text-headword-found,suspicious-headword-characters
Pulla-,,m.,"thole, peg in the side of a boat to keep the oar in place",590,EUR,\*tul-n6- (EUR),"Ice!. pollur m. 'peg; thole', Far. tollur m. 'tholepin', Nw. toll(e) m. 'thole, tholepin', Da. to/ c. 'id.', OE poll m. 'id.', MLG do/le, du/le f. 'id.', MDu. do/le f. 'id.', Du. do/ c. 'id.'",pdf-text-headword-found,suspicious-headword-characters
puman-,,m.,thumb,590,IE?,\*tum-on- (IE?),"Ice!. pumi m. 'id.', Far. tummi m. 'inch', Nw. tomme m. 'id.', OSw. pumi m. 'thumb; inch', Sw. tumme c. 'id.', ODa. thumCE m. 'id.', Da. tomme c. 'id.', OE puma m. 'id.', E thumb, OFri. thuma m. 'id.', MLG dum(e) m. 'id.', MDu. dume m. 'id.', Du. duim c. 'id.', OHG dumo m. 'id.', G Daumen m. 'id.'",pdf-text-headword-found,
Puna-,,adj.,stretched,591,IE,\*tnh₂-(n)o- (IE),"MDu. done, duene adj. 'tight, close', MHG don adj. 'stretched out'",pdf-text-headword-found,suspicious-headword-characters
pungu-,,adj.,heavy,591,NEUR,\*tngh-u- (NEUR),"ON pungr adj. 'id.', Far. tungur adj. 'id.', Elfd. tungg adj. 'id.'",pdf-text-headword-found,
Punhjan-,,w.v.,to press,591,IE,\*tunk-ie- (IE),"Far. tjggja w.v. 'to be hard on', OE ge-pywan w.v. 'to press, impel, urge', MDu. duwen, douwen w.v. 'to push, press', Du. duwen, reg. douwen w.v. 'to push', MHG diuhen, diihen s.v. 'to push, press down'",pdf-text-headword-found,suspicious-headword-characters
punkjan-,,w.v.,to think,591,IE,\*tng-ie- (IE),"Go. pugkjan w.v. 'to have the impression, suppose, appear', ON pykkja w.v. 'to deem, think', Far. tykja w.v. 'to seem, appear; to think, believe', Elfd. tyttja w.v. 'to think; to like', OE pyncan w:v. 'to seem, appear', E to think, OFri. thinka, thinza w.v. 'to seem, think', OS thunkian w.v. 'consider', Du. dunken w.v. 'to think, deem', OHG dunken w.v. 'to deem, think, mean', G diinken w.v. 'id.'",pdf-text-headword-found,
punkon-,,w.v.,to make wet,591,EUR,\*tng-neh₂- (EUR),"OHG dunkon w.v. 'to dip', MHG dunken, tunken w.v. 'id.', G tunken w.v. 'id.'",pdf-text-headword-found,
Punnu-,,adj.,thin,591,IE,\*tnh₂-u- (IE),"ON punnr adj. 'id.', Far. tunnur adj. 'id.', Elfd. tunn adj. 'id.', OE pynne adj. 'id.', E thin, MDu. dunne adj. 'id.', Du. dun adj. 'id.', OHG dunni adj. 'id.', G diinn adj. 'id.'",pdf-text-headword-found,suspicious-headword-characters
purfan-,,pret.-pres.,to need,592,IE,\*trp- (IE),"Go. paurban pret.-pres. 'id.', ON purfa pret.-pres. 'id.', Far. poet. turva pret.-pres. 'id.', OE purfan pret.-pres. 'to be wanton', OFri. thurva pret.-pres. 'id.', OS thurban pret.-pres. 'id.', MDu. dorven pret.-pres. 'to need; to dare', Du. durven w.v. 'to dare', OHG durfan pret.-pres. 'id.', G diirfen pret.-pres. 'to be allowed to'",pdf-text-headword-found,
purfti-,,f.,need,592,IE/DRV,\*trp-ti- (IE/DRV),"Go. paurfts f. 'id.', ON purft f. 'id.', OS thurft, thuruft f. 'id.', OHG durft f. 'id.', MHG durft f. 'need, want, necessity'",pdf-text-headword-found,
purisa-,,m.,giant,592,GM,,"ON purs m. 'id.', Far. poet. tussur m. 'id.', Nw. tuss m. 'id.', OE pyrs m. 'id.', OHG durs, duris m. 'id.', MHG diirse, turse, tiirse, tiirsch m. 'id.' (GM). One of the Proto-Germanic words for 'giant', cf. Fi. turisas 'god of war; sea monster'. It gave rise to Ice!. pursi, Far. tussi, Nw. tusse, EDa. tusse, tosse 'giant' < \*purisan-. No clear etymology. The standard connection with ON pyrja 'to rush' < \*purjan- (q.v.) is formally possible, but semantically uncompelling. Perhaps rather related to Icel. pursi m. 'quarrel, anger, rage'.",pdf-text-headword-found,
Purjan-,,w.v.,to sweep,592,IE,\*turH-ie- (IE),"ON pyrja w.v. 'to sweep, rush'",pdf-text-headword-found,suspicious-headword-characters
Purna-,,m.,"thorn, briar",592, < \*purnu-,,"Go. paurnus m. 'id.' ( < \*purnu-), ON porn m. 'id.', OE porn m. 'id.', E thorn, OFri. thorn m. 'id.', ODu. thorn m. 'id.', Du. doorn c.",pdf-text-headword-found,suspicious-headword-characters; no-proto-arrow-or-distribution-detected
purpa-,553,"'id.', OHG dorn m. 'id.', G Dorn m. 'id.' ⇒ \*tr-no- (IE)",,593,,,"Skt. tfTJa- n. 'grass, blade of grass, herb', OCS tron'b m. 'thorn', Ru. tern m. 'blackthorn, sloe', SCr. tfn m. 'id.'. An old no-stem to a PIE root \*ter-. In view of the extra-Germanic forms, it is likely that the Go. u-stem is secondary. Also cf. OE pyrne f. 'briar' < \*purnjo- and pyrnet n. 'thorn-bush thicket' < \*purnatja-.",pdf-text-headword-found,missing-or-unparsed-gloss
purpa-,,n.,crowd(?),593,EUR,\*trb-o- (EUR),"Go. paurp n. 'farmland', ON porp n. 'isolated settlement', Nw. tarp n. 'group; small settlement', OE porp, prop m. 'crowd', OFri. therp, thorp n. 'village; (fallow) land', OS thorp n. 'id.', Du. dorp n. 'id.', OHG dorfn. 'id.', G Dorf n. 'id.'",pdf-text-headword-found,
Purska-,,m.,cod,593,NEUR,\*trsk-o- (NEUR),"ON porskr m. 'id.', Far. toskur m. 'id.', Elfd. tuosk m. 'id.', MDu. dorsch m. 'id.', G Dorsch m. 'id.'",pdf-text-headword-found,suspicious-headword-characters
Purstu-,,m.,thirst,593,IE,\*trs-tu(IE),"Elfd. tuost f. 'id.', OE purst, pyrst m. 'id.', E thirst, OS thurst m. 'id.', Du. dorst c. 'id.', OHG durst m. 'id.', G Durst m. 'id.'",pdf-text-headword-found,suspicious-headword-characters
Purzen-,,w.v.,to be dry,593,IE,\*trs-eh₁- (IE),"Sw. dial. torra w.v. 'id.', OS thorron w.v. 'to waste away', Du. ver-dorren w.v. 'to wither', OHG dorren, dorren w.v. 'to dry, wither, stiffen', G ver-dorren w.v. 'to wither'",pdf-text-headword-found,suspicious-headword-characters
/mrzjan-,,w.v.,to be thirsty,594,IE,\*trs-ie- (IE),"Go. paursjan w.v. 'id.', OE pyrreo p.ptc. 'dried out'",pdf-text-headword-found,suspicious-headword-characters
/Jurzu-,,adj.,dry,594,IE,\*trs-u- (IE),"Go. paursus adj. 'id.', ON purr, pyrr adj. 'id.', Far. turrur adj. 'id.', Nw. ti1rr, turr, dial. tjurr adj. 'id.', Elfd. tuorr adj. 'id.', OE f>yrre adj. 'id.', OFri. thurre adj. 'id.(?)', OS thurri adj. 'id.', Du. dor adj. 'id.', OHG durri adj. 'id.', G diirr adj. 'id.'",pdf-text-headword-found,suspicious-headword-characters
/Jiishundi-,,f.,thousand,594,NEUR,\*tuHs-d/{mt-o- (NEUR),"Go. pusundi f. 'id.', ON pusund f. 'id.', Far. tusundi num. 'id.', Elfd. tusn num. 'id.', OE PU.send num. 'id.', E thousand, OFri. thusend num. 'id.', OS thusundig num. 'id.', Du. duizend num. 'id.', OHG dusunt num. 'id.', G Tausend f. 'id.'",pdf-text-headword-found,suspicious-headword-characters
/Jusi/Ja-,,adj.,silent,594,IE,\*tus-i-to- (IE),"Nw. tyst adj. 'id.', OSw. thyster, ti1ster adj. 'id.', Elfd. tyst adj. 'id.', ODa. t(h)yst(<Er) adj. 'id.', Da. tyst adj. 'id.'",pdf-text-headword-found,suspicious-headword-characters
puti-,,m.,roaring,595,ORV,,"ON pytrm. 'howling', MHG duz m. 'sound, noise' (ORV). An i-stem to the strong verb \*peutan- - \*piitan- (q.v.).",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
Putt/don-,,w.v.,to bump,595,GM,,"Far. tota w.v. 'to dash', OE podettan w.v. 'to hit, bump', Du. dial dodderen 'to bump', G dotzen, dutzen w.v. 'to bounce, bump' : \*tudh-neh₂- (GM). Presumably the iterative to \*peutan- - \*piitan- (q.v.). Also cf. OE pyddan w.v. 'to beat, bump, throw', ME thudden w.v. 'to push; thrust; throw; force', E to thud < \*pudjan- and OE podor m. 'ball' < \*pudra- ( < \*tudh-dhr6-?).",pdf-text-headword-found,suspicious-headword-characters
pwahan-,,s.v.,to wash,595,GM,,"Go. pwahan s.v. 'id.', ON pva s.v. 'id.', Far. tvaa s.fw.v. 'id.', Elfd. twa irr.v. 'id.', OE pwean s.v. 'id.', OS thwahan s.v. 'id.', MDu. dwaen s.v. 'id.', OHG dwahan s.v. 'id.', MHG dwahen, twahen, zwahen s.v. 'id.' : \*tu6k-e (GM) - OPru. twaxtan 'brushwood for bathing' < \*tuok-sto-(?). An a-grade intensive formation. Cf. \*pwahla- as well as ON pvattr, OSw. thv<l!tter m. 'washing' < \*pwahtu- (whence e.g. Ice!. pv<l!tta, Sw. tviitta w.v. 'to wash' < \*pwahtjan-).",pdf-text-headword-found,
pwahla-,,n.,"washing, bathing",595,ORV,,"Go. pwahl n. 'id.', ON pvall m. 'soap', OE pweal, pwa!hl m./n. 'washing', OHG dwahal n. 'bath, baptism' (ORV). Derived from \*pwahan- with the suffix \*-la-, possibly the outcome of secondarily added \*-pla- ( < \*-tlo-) after \*h. Also cf. the instrumental noun OE pwii!le f. 'band, fillet', Du. dweil c. 'mob', OHG dwahila, dwehila, G Zwehle f. 'towel' < \*pwahilon-. Far. dveylur m. 'swab' was borrowed from Low Ger-. man.",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
Pwangi-,,m.,latchet,595,ORV,,"ON pvengr m. 'thong, latchet', Far. tvongur m. 'shoelace', OE pwang m.f. 'thong, strip ofleather', E thong ϊ \*tuon/{-f- (ORV). An i-stem to the strong verb \*pwinhan- ( q.v.).",pdf-text-headword-found,suspicious-headword-characters; no-proto-arrow-or-distribution-detected
pwaron-,,f.,stirrer,595,ORV,,"ON pvara f. 'pot-stick, stirrer', Far. tvl!lra f. 'stirrer with four scoops' (ORV). An a-grade formation to the strong verb \*pweran- 'to swirl, stir' ( q.v.).",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
Pweran-,,s.v.,to swirl,595,IE,\*tuerH-e- (IE),"OE pweran s.v. 'to twirl, stir', OHG dweran s.v. 'to stir up', MHG twern s.v. 'to turn quickly, stir up'",pdf-text-headword-found,suspicious-headword-characters
/Jwerha-,,adj.,cross,596,IE,\*terkw·o-(?) (IE),"Go. pwairhs adj. 'angry, irate, quicktempered', ON pverr adj. 'transverse; adverse, contrary; cross, obstinate', Icel. pver adj. 'transverse, lying-across; headstrong, unyielding', Far. tverur adj. 'transverse; difficult; obstinate; strange', OE pweorh, pwerh adj. 'crooked, cross; adverse, opposed', OFri. thweres adv. 'cross', OS thwerh adj. 'stupid', MLG dwer adj. 'cross, lateral', OHG dwerah adj. 'cross, lateral', MHG dwerch, twerch adj. 'id.', G quer, obs. zwerch adj. 'id.'",pdf-text-headword-found,suspicious-headword-characters
/Jwinan-,,s.v.,"to abate, disappear",596,IE,,"OSw. pvina w.v. 'to dwindle, pine', Sw. tvina w.v. 'id.', Da. tvine s./w.v. 'to disappear', OE pwlnan s.v. 'to go down, lessen, abate' (IE). An n-present to the root \*dhgwhei-, probably back-formed to the inchoative OSw. pvcena w.v. 'to dwindle' < \*pwinon- < \*dhgwhi-nehr. Note that the Germanic reflexes of this verbal cluster show a remarkable alternation between \*dwinan- and \*swinan-; the outcome of the initial cluster \*dhgwh. was apparently unstable in Germanic.",pdf-text-headword-found,suspicious-headword-characters
/Jwinhan-,,s.v.,to force,596,IE,\*tuenk-e- (IE),"OFri. thwinga s.v. 'to force', OS thwingan s.v. 'to force, urge', Du. dwingen s.v. 'id.', OHG dwingan s.v. 'to force, subdue, oppress', G zwingen s.v. 'to force'",pdf-text-headword-found,suspicious-headword-characters
uba,,prep.,under; above,596,IE,\*h₁up-6 (IE),"Go. u/prep. 'under', ON o/prep. 'over; about', OHG ob( a) prep. 'above, on, over', G obs. ob prep. 'above; due to'",pdf-text-headword-found,
uber-,557,"YAv. upa prev., prep. 'towards, with, on, in', Gr. urro, im6 adv., prep. 'under; by', Olr./o prev., prep. 'under'. A petrified allative in \*-o. See also \*eup",,597,,,\*upp and \*ufuman-.,pdf-text-headword-found,missing-or-unparsed-gloss; no-proto-arrow-or-distribution-detected
uber-,,"adv., prep.","above, over",597,IE,,"Go. ufar prep. 'over', ON yfir prep. 'over, above, beyond, across', Far.yvir prep. 'id.', Elfd.yiyr prep. 'id.', OE ofer, ofor prep. 'above, over', E over, OS obar prep. 'over, across', Du. over prep. 'id.', OHG ubar prep. 'id.', G iiber prep. 'id.' ϊ \*h₁uperi (IE) - Identical to Skt. upciri adv. 'above, over, upwards', YAv. upairi adv. 'above, over', OP upariy adv. 'above', prep 'over, upon', NP bar prep. 'on', Gr. um:p, imE:p adv. 'over, above; in excess', prep. 'over', Lat. super adv., prep. 'over, above, beyond', Olr./or, MW gor prep. 'over, on'.",pdf-text-headword-found,
ubila-,,adj.,"evil, bad",597,NEUR?,,"Go. ubils adj. 'evil, bad', OEyfel adj. 'evil, ill', OS ubil adj. 'evil', OHG ubil adj. 'evil, bad, wrong' (NEUR?) - Close to Olr.fel adj. 'bad' < \*up-elo-. An etymologically debated word, possibly derived from \*uba (cf. ON of adv. 'excessively; too') with the suffix \*-ila- (not \*-ela-, pace Orel 2003: 433). The original meaning may then have been 'overstepping a boundary'. For a similar derivation, cf. OHG uppi adj. 'vain, evil' < \*ubja-. Outside Germanic, there can be a link with Olr. fel. The connection with Hitt. buyappi buppanzi 'to be hostile towards, to do evil against; to throw (down), to hurl' < \*h₂u6ph₁-ei, \*h₂uph₁-i-enti must be rejected, on the other hand, because the mean…",pdf-text-headword-found,
ufna-,,m.,oven,597,NIE,,"Go. auhns m. 'id.', ON ofn m. 'oven, furnace', lee!.. ofn m. 'oven, stove, furnace, kiln', 6nn m. 'furnace, ash-hole under a kiln', Far. ovnur m. 'oven, stove', OSw. ughn, oghn, ofn, omn m. 'id.', Elfd. ungen m. 'id.', OE ofen, ofn m. 'oven, furnace', E oven, OFri. oven m. 'id.', MDu. oven m. 'id.', Du. oven c. 'id.', OHG ofan, ovan m. 'id.', G Ofen m. 'id.' ϊ \*upno- (NIE) - Hitt. bappen-, bapn- 'baking kiln, fire-pit, broiler (oven)' < \*h₂ep-n-(?); Gr. hrv6<; m. 'furnace; kitchen; lantern', Myc. i-po-no < \*ip-no-(?); OPru. wumpnis 'oven' < \*u{m)p-no-(?). The Germanic word for 'oven' in view of OE ofnet 'vessel' probably designated a small ceramic oven. The word displays some formal prob…",pdf-text-headword-found,
ufto,,adv.,often,598,DRV,\*h₁up-to- (DRV),"Go. ufta adv. 'id.', ON oft adv. 'id.', Far. ofta adv. 'id.', OE oft adv. 'id.', E often, OS ofto adv. 'id.', OHG ofto adv. 'id.', G oft adv. 'id.'",pdf-text-headword-found,
ujuman-,,comp.,"upmost, highest",598,IE,\*h₁up-rpHo- (IE),"Go. auhuma\* comp. 'higher', auhumists superl. 'highest', OE ufemest superl. 'highest'",pdf-text-headword-found,
uhjon-,,w.v.,to sound,598,NEUR,\*uk-ie(NEUR),"Icel. yja w.v. 'to remind, drop a hint'",pdf-text-headword-found,
uhsan-,,m.,ox,598,IE,\*Huks-en- (IE),"Go. auhsa, dat./acc. auhsau, gen.pl. auhsne, ace.pl. auhsnuns m. 'id.', ON uxi m. 'id.', Far. oksi m. 'ox; castrated bull', Elfd. ukse m. 'id.', OE oxa m. 'id.', E ox, OFri. oxa m. 'id.', OS ohso m. 'id.', Du. os c. 'id.', OHG ohso m. 'id.', G Ochse m. 'id.'",pdf-text-headword-found,
umbi-,,prep.,"around, about",598,IE,\*h₂nt-bhi (IE),"ON umb, um prep. 'id.', Far. um prep. 'id.', Elfd. um prep. 'id.', OEymbe,ymb prep. 'id.', OS umbi prep. 'id.', Du. om prep. 'id.', OHG umbi prep. 'id.', G um prep. 'id.'",pdf-text-headword-found,
unda,,prep.,until,599,IE,"\*h₂i;,it-6 (IE)","Go. und prep. 'unto, up to, until', ON unz prep. 'until' ( < \*und es conj.), lcel. uns prep. 'until', OFri. und prep. 'id.'",pdf-text-headword-found,
under-,,"adv., prep.",under; among,599,IE,\*(H)ndher- / \*h₁n-ter- (IE),"Go. undar prep. 'under, underneath', ON undir adv., prep. 'under', OFri. under adv., prep. 'under, underneath', OS undar adv., prep. 'under, between', Du. onder prep. 'id.', OHG untar adv., prep. 'below, between', G unter prep. 'id.'",pdf-text-headword-found,
undi-,,f.,affection,599,DRV,\*h₃nh₂-ti- (DRV),"ON Qfund f. 'grudge, envy, ill-will', OHG abunt, abunst m. 'envy'",pdf-text-headword-found,
unhta-,,adj.,accustomed,599,IE,\*h₁u-n-k-to- (IE),Go. bi-uhts adj. 'id.',pdf-text-headword-found,
