headword,homonym,grammatical_label,gloss,pdf_page,distribution_label,proto_or_comparison_field,first_attestations,verification_status,flags
aikan-,,s.v. 'to make one's own(?)',,48,DRV,,"Go. afaikan s.v. 'to deny, abjure', OHG in-eihhan s.v. 'to sacrifice; dedicate' (DRV). The fact that Go. aikan and OHG eihhan (cf. ChWdW9: 245) are reduplicated verbs, which typically have an o-grade of the root, could imply a pre-Gm. formation \*HoiCB1-e-. One could then compare Latv. afcinfit 'to call, invite' < \*Hoig-n(e)h₂- and Olr. eigid 'to cry' < \*h₁dg1-e-. From the Germanic perspective, however, it is more likely that the root \*aik- continues \*aikk- ( < \*Hoik-n-1, and developed from the preterite-present \*aigan- 'to own' (q.v.) with a semantic shift 'to make one's own' > 'to accept' (cf. EWAhd: II, 972). This is supported by OHG ur-eiche adj. 'own' < \*uz-aikja- and OHG (gi-)ei…",pdf-text-headword-found,missing-or-unparsed-gloss
aikjan-,,w.v.,to irritate,48,IE,\*h₂oi9-eie(IE),"Nw. eikja w.v. 'to annoy, pester'",pdf-text-headword-found,
aikwernan-,,- \*ikurnan- m.,squirrel,48,IE,\*h₂ei-h₂u-r (IE),"ON fkorni m. 'id.', Far. fkorni m. 'id.', Elfd. aikuonn m. 'id.', OE iicweorn(a) m. 'id.', MDu. eecoren m. 'id.', Du. eekhoren c. 'id.', OHG eihhurno, eihhorno m. 'id.', G Eichhornchen n. 'id.'",pdf-text-headword-found,
ailida-,,m.,fire,49,DRY,,"ON e/dr m. 'id.', Far. e/dur m. 'id.', Elfd. jiild m. 'id.', OE ii!led m. 'fire; fire blight' (DRY). A formation derived from \*ailjan- (OE re/an w.v. 'to burn') which in turn is a factitive to the noun \*aila- as implied by OE al n. 'fire' < \*ai/la- < \*aid/a- < \*h₂eidh-/o-, for which cf. \*aida-. W aelwyd f. 'fireplace' and Bret. oelad 'id.' were borrowed from early Anglo-Saxon.",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
aima-,,m.,"steam, smoke",49,1E,\*h₁oi-mo- (1E),"ON eimr m. 'fire, smoke, steam', Far. eimur m. 'embers', Nw. eim m. 'vapor, smoke, trace, semblance, inkling'",pdf-text-headword-found,
aima-uzjon-,,f.,embers,49,DRY,,"ON eimyrja f. 'id.', OE remyrie f. 'id.', E embers, MDu. amere f. 'id.', OHG eimuria f. 'id.', MHG eimer(e) f. 'id.' (DRY). A compound of \*aima- 'steam, smoke' and \*usjon-, cf. ON ysja f. 'fire' < \*Hus-ieh₂-, See also \*uznan-.",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
aina-,,num.,one,49,IE,\*Hoi-Hn-o- (IE),"Go. ains num. 'id.', ON einn num. 'id.', Far. ein num. 'id.', Elfd. ien num. 'id.', OE iin num. 'id.', E one, OFri. an, en num. 'id.', OS en num. 'id.', Du. een num. 'id.', OHG ein num. 'id.', G ein num. 'id.'",pdf-text-headword-found,
ainahan-,,adj.,single,49,DRY,\*Hoi-Hno-Ko- (DRY),"Go. ainaha adj. 'id.', ON einga indecl. 'id.', OE anga, renga, enga adj. 'id.'",pdf-text-headword-found,
ainalifa-,,num.,eleven,49,,,"Go. ainlif num. 'id.', ON ellifu num. 'id.', Far. ellivu num. 'id.', Elfd. el/av num. 'id.', OE endlufon num. 'id.', E eleven, OFri. and/ova,",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
ainja-,,m.,juniper,50,IE,,"ON einir m. 'id.', Far. eini n. 'id.' (also cf. eini-ber 'juniper berry'), Nw. eine m. 'id.', Sw. en(e) c. 'id.', Elfd. ien m., iene n. 'id.', Da. ene-brer 'id.', LG en(e)ke 'id.', G dial. Einbeerbaum 'id.' ::} \*h₁oi-n-io- (IE) - Hitt. ejan- n. 'a certain evergreen tree' < \*h₁ei-n-; Lat. iilni-pe/irus m. 'juniper' < \*h₁oi-no- (with unexplained j- and etymologically obscure second member). A word that is likely to have been a collective formation, especially in view of the neuters Far. eini and Elfd. iene. The word is usually reconstructed as PGm. \*jainja- on the basis of the comparison with Lat. iiini-perus, but the West Germanic forms exclude initial \*j. If Hitt. ejan- is related (Kroo…",pdf-text-headword-found,
airi,,adv.,early,50,,,"ON cir adv. 'id.', Far. (margin ciri 'early in the morning', OE <ir adv. 'before', OFri. er prep., conj. 'id.', OS er adv. 'id.', Du. eer conj. 'id.', OHG e(r) adv., conj. 'before, earlier', MHG e(r) adv. 'earlier, sooner' ::}",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
h₂ei-er-i,,(IE),,50,or 'daybreak'?,,"Av. aiiara, gen. aiiqn n. 'day' < \*h₂ei-r/n-; Gr. ƀpl 'in the morning' < \*h₂ei-er-i; Gr. Tjtplo<; adj. 'matutinal' < \*h₂eier-io-. PGm. \*airi is identical to Gr. ƀpl, continuing the locative of an old r/n-stem meaning 'day' (or 'daybreak'?), cf. Av. aiiara. The e of \*ajeri was regularly raised to \*i after \*j, and triggered the merger of \*aji- with \*ai- (cf. \*aiza- 'oar' < PIE \*h₂ei-es-). Note that ON, Icel. aria, Sw. aria, Da. cirle adv. 'early' developed from cirliga by some sort of syncope, cf.fastl(ig}a 'firmly', framarl(ig)a 'in a forward position', ill(ilig)a 'badly, hideously' and gerla, gprla 'fully', harola 'very', var/a 'hardly'.",not-found-in-pdf-text-layer,missing-or-unparsed-gloss
airinon-,,w.v.,to run an errand,50,DRV,,"Go. airinon w.v. 'to be an emissary, to be a messenger', ON cirna w.v. 'to intercede, to pray'. (DRV). Derived from \*airu- 'messenger' (q.v.).",pdf-text-headword-found,
airiz,,adv.,earlier,50,IE,,"Go. airis adv. 'id.', ON cior adv. 'before, earlier' ::} \*h₂ei-er-is (IE).",pdf-text-headword-found,
airō-,,f.,oar,51,IE,\*h₃eiH-r-eh₂- (IE),"ON ár f. 'id.', Far. ár f. 'id.', Elfd. åra f. 'id.', OE ār f. 'id.', E oar",not-found-in-pdf-text-layer,
airu-,,m.,messenger,51,GM,,"Go. airus m. 'id.', ON árr m. 'messenger, servant', Icel. árr m. 'id.', OE ār m. 'id.', OS ēru m. 'id.' (GM). Also cf. Go. airinōn w.v. 'to be an emissary, to be a messenger', ON árna w.v. 'to intercede, to pray' < \*airinōn-. No further etymology.",pdf-text-headword-found,
aiskō-,,f.,demand,51,IE/NEUR,\*h₂ois-sk-eh₂- (IE/NEUR),"OFri. āske f. 'claim', OHG eisca f. 'question'",not-found-in-pdf-text-layer,
aisō(ja)n-,,w.v.,to rush,51,-ie,\*h₁ois-eh₂(-ie)- (IE),"ON eisa w.v. 'to rush, dash'",not-found-in-pdf-text-layer,
aison-,,f.,fireplace,52,IE?,\*h₂ois-eh₂- (IE?),"ON eisa f. 'embers', Nw. eise f. 'fire, smith's fire', MLG ese f. 'forge, fireplace'",pdf-text-headword-found,
aista/6-,,m./f.,kiln,52,DRY,\*h₂ei-sth₂-o- (DRY),"OE ast m. 'oven', E oast, MLG eiste f. 'oast house', MDu. eest, est m./f. 'drying kiln', Du. eest c. 'oast; kiln'",pdf-text-headword-found,suspicious-headword-characters
aisten-,,w.v.,to respect,52,IE,\*h₂eisd-eh₁-ie- (IE),Go. aistan w.v. 'id.',pdf-text-headword-found,
aistiin-,,n.,testicle,52,EUR,\*h₂oid-sth₂-o- (EUR),"ON eista n. 'id.', Far. eista n. 'id.'",pdf-text-headword-found,
aita-,,m.,ulcer,52,EUR,\*h₂oid-o- (EUR),"Du. coll. eit 'ear wax', OHG eiz m. 'abcess, boil', MHG eiz m. 'ulcer, boil'",pdf-text-headword-found,
aitra-,,n.,poison; pus,52,,,"ON eitr n. 'venom, poison', Far. eitur n. 'id.', Elfd. ietter n. 'venom; pus', OE attor n. 'poison', WFri. atter, etter c. 'pus', OS ættar",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
aiþa-,,m.,oath,53,EUR,\*Hóito- (EUR),"Go. aiþs m. 'id.', ON eiðr m. 'id.', Far. eiður m. 'id.', OE āþ m. 'id.', E oath, OFri. āth, ēth m. 'id.', OS ēth m. 'id.', Du. eed c. 'id.', OHG eid m. 'id.', G Eid m. 'id.'",not-found-in-pdf-text-layer,
aiþin-,,- \*aiþōn- f.,mother,53,GM,\*ait-ih₂-(?) (GM),"Go. aiþei f. 'id.', ON eiða f. 'id.', OHG fuotar-eidi f. 'nanny', MHG eide f. 'mother'",not-found-in-pdf-text-layer,
aiþja-,,adj.,capable of taking an oath,53,DRV,,"Go. uf-aiþeis\* adj. 'bound by an oath', OE āðe adj. 'qualified to swear an oath' (DRV). The meaning of the Old English form is clearly gerundival. Usually, gerundives are created to verbs, but in this particular case, the derivational base appears to have been \*aiþa- 'oath'.",not-found-in-pdf-text-layer,
aiþma-,,m.,son-in-law,53,GM,,"OE āðum m. 'son-in-law; brother-in-law', OFri. āthum, āthom, āthem m. 'son-in-law, father-in-law', OHG eidum, eidam m. 'son-in-law', MHG eidem m. 'son-in-law, father-in-law' (GM). No certain etymology. The word is often linked to \*aiþa- 'oath', implying that the original meaning of the word was ""son/father-in-oath"". I personally prefer to derive the word from the same root as found in \*aiþin- - \*aiþōn-, i.e. with an original meaning ""relative on the mother's side"". Note that the word is usually reconstructed as \*aiþuman-, even though there is no compelling evidence for the u-vowel; Old High German, for instance, has both eidum and eidam, which means that the second vowel could be anaptyc…",not-found-in-pdf-text-layer,
aiwa/o-,1,m./f.,"eternity, age",54,IE,\*h₂ei-u- (IE),"Go. aiws m. 'id.', OFri. ewe f. 'id.', OS ewa f. 'id.', Du. eeuw c. 'century', OHG ewa f. 'eternity'",pdf-text-headword-found,suspicious-headword-characters
aiwa/o-,2,m./f.,law,54,IE,,"OE re, rew f. 'law, religion, marriage', OFri. ewe, e f. 'law', OS eo, eu m. 'law', OHG ewa, ea, eo f. 'law, right, will, contract', MHG ewe, e f. 'marriage, alliance' (IE). Probably related to Lat. jiis, jiiris n. 'law' < \* Hieu-es- and etymologically identical to \*aiwa/ii- 1 (q.v.). Hardly to Lat. aequus 'level, equal' < \*h₂eikwoor to Skt. eviis m.pl. 'conduct, habit, usage, custom' < \*h₁oi-uo-, which is derived from the root \*h₁ei- 'to go' (see \*aidja- and \*idiijan-).",pdf-text-headword-found,suspicious-headword-characters
aiwiska-,,adj.,shameful,54,IE,\*h₂eigwh-isk-o- (IE),MHG eisch adj. 'horrible',pdf-text-headword-found,
