entry_headword_and_label	entry_text
*werkjan sb.n.	ON virki ‘work’, OS gi-wirki id. Derived from *werkan. Vries ANEW 667.
*werkjanan wk.vb.	ON virkja ‘to pain’, OE wyrcan ‘to work, to labor’. Derived from *werkan. Holthausen AEEW 394; Vries ANEW 667.
*werkōjanan wk.vb.	ON verka ‘to work’, OFris werkia id., MLG werken id., OHG wercōn ‘to build, to work’. Derived from *werkan. Vries ANEW 656.
*werkōn sb.m.	ON verki ‘doer, offender’, MHG ge-werke ‘comrade’. Derived from *werkan. Vries ANEW 656.
*werō sb.f.	OFris were ‘lip’. Related to Lat uarus ‘pimple’, Lith vīras ‘pustule on pigs’ (Bezzenberger-Fick BB VI 240; Wood MLN XXIX 71), Toch B weru ‘blister’. Cf. *warzuz. Torp-Falk 399; Trautmann BSW 360; Walde-Hofmann II 734; Feist 545 (contra Wood); Pokorny I 1151–1152; Fraenkel 1258–1259; Vries ANEW 676 (to *warjanan); Lehmann GED 390; Adams TB 609.
*werpanan str.vb.	Goth wairpan ‘to cast, to throw’, ON verpa id., OE weorpan id., OFris werpa id., OS werpan id., OHG werfan id. Related to Lith vīrbu, virbėti ‘to shiver, to move’. Diefenbach VW I 201 (to Lith verpiū, veıpti ‘to spin’); Zupitza Gutt. 30; Potebnia RFV IV 164 (to Slav *vorpъ ‘raid’); Persson Beiträge 502–503; Kluge PBB IX 193 (to Skt vṛṇákti ‘to turn, to twist’); Meyer KZ VI 176 (to Gk =άπτω ‘to throw’); Zupitza Gutt. 30; Torp-Falk 398; Feist 545; Holthausen AEEW 390; Kluge 855, PBB IX 193–196; Jóhannesson IEW 141–149; Pokorny I 1153 (to IE *⁄er- ‘to turn’); Fraenkel 1259; Vries ANEW 656–657; Onions 993; Seebold 557–559; Lehmann GED 390; Kluge-Seebold 886.
*werpaz ~ *werpan sb.m./n.	ON litverpr ‘one quickly changing color’, OE zeweorp ‘throwing, tossing’, OFris werp ‘throw’, MDu werp id., OHG gi-werf ‘contribution’. Derived from *werpanan. Holthausen AEEW 390; Vries ANEW 657; Seebold 558.
*wersiz comp. adv.	Goth wairs ‘worse’, ON verr id., OE wirs id., OS wirs id., MHG wirs id. Close to OIr ferr ‘better’, further to Skt várßīyas- ‘higher’, Lith viršūs ‘top, peak’, Slav *vьrxъ ‘top’. Comp. *wersizōn ~ *werzizōn > Goth wairsiza ‘worse’, ON verri id., OE wirsa id., OFris wirra id., OS wirsa id., OHG wirsiro id. Superl. *wersistaz ~ *wersistōn (ON verstr ‘worst’, OE wirrest id., OFris wersta id., OS wirsista id., OHG wirsisto id.) is structurally identical with Skt várßißtha- ‘the highest’. Grimm DG III 658 (to Slav *gorьjь ‘worse’); Diefenbach VW I 191 (same as Grimm); Osthoff Morph. Unt. VI 289–291 (to *wersan ‘confusion’); Torp- Falk 398–399 (to OS werran ‘to entangle’, OHG werran ‘to confuse’ < *werzanan); Uhlenbeck PBB XXX 323; Torp-Falk 399; Trautmann BSW 362; Holthausen AEEW 394; Feist 546; Sturtevant AJPhil LVI 141; Mayrhofer III 160–161; Pokorny I 1151–1152; Fraenkel 1262–1263; Vries ANEW 657; Onions 1013; Vasmer-Trubachev I 301–302; Lehmann GED 391; Bammesberger Nom. 236; Heidermanns 675–676.
*wertiz sb.n.	ON virtr ‘sweet-wort, new beer’, OHG wirz ‘wort’. An ablaut variant of *wurtiz. Holthausen AEEW 412; Vries ANEW 668.
*werþa-līkaz adj.	ON verä-ligr ‘valuable’, OE weorä-líc id., OHG werd-līh ‘dignified’. Derived from *werþaz. Heidermanns 674.
*werþan sb.n.	Goth wairþ ‘price’ (neut. or masc.), ON verä ‘worth, price’, OE weorä ‘worth, value’, OFris werth id., OS werth ‘payment, money’, OHG werd ‘worth’. Substantivized *werþaz. Holthausen AEEW 390; Feist 546; Pokorny I 1157; Zalizniak II 173; Lehmann GED 391; Heidermanns 674; Kluge-Seebold 886.
*werþanan str.vb.	Goth wairþan ‘to become’, ON veräa id., OE weoräan id., OFris wertha id., OS weräan id., OHG werdan id. Related to Toch A wart- ‘to throw’, Skt vártate ‘to turn, to roll’, Av var 6 t- ‘to turn’, Lat uertō id., OIr ad-ferta ‘aversatur’, Lith ver‘iū, veısti ‘to turn, to spin’, Slav *vьrtjǫ, *vьrtîti id. Bartholomae 1368; Torp-Falk 397–398; Holthausen AEEW 390; Walde- Hofmann II 763–765; Feist 547; Jóhannesson IEW 141–149; Mayrhofer III 154–155; Pokorny I 1156–1157; Fraenkel 1228–1229; Vries ANEW 655; Onions 1013; Vasmer-Trubachev I 301; Seebold 559–560; Lehmann GED 391; Kluge-Seebold 885.
*werþaz adj.	Goth wairþs ‘worth, qualified’, ON verär ‘worth’, OE weorä id., OFris werth id., OS werth id., OHG werd ‘worth, dignified’. Derived from *werþanan (Jóhannesson IEW 145). Structurally close to W gwerth ‘price’. Bartholomae 176 (to Av a-var 6 tā ‘thing of value’); Arbois de Jubainville MSL VII 294 (from Celtic); Karsten NB I 325; Brugmann IF XIII 88 (to *werđaz); Arbois de Jubainville MSL VII 294 (from Celt *wertas > W gwerth ‘price’); Torp-Falk 394; Feist 547; Wissmann Postv. 77; Holthausen AEEW 390; Pokorny I 1157; Vries ANEW 655; Onions 1013; Lehmann GED 391; Bammesberger Nom. 241; Heidermanns 674–675.
*werþiþō sb.f.	Goth wairþida ‘worthiness’, OHG wirdida ‘dignity’. Derived from *werþjanan. Feist 547; Lehmann GED 391; Heidermanns 674.
*werþjanan wk.vb.	ON viräa ‘to estimate, to rate, to tax’, OHG wirden ‘to revere, to praise’. Derived from *werþan. Torp- Falk 394; Vries ANEW 667; Heidermanns 675.
*werþōjanan wk.vb.	Goth wairþon ‘to estimate, to price’, OE weoräian ‘to set a value, to honor’, OS gi-werthon ‘to fulfill’, OHG werdōn ‘to value, to revere’. Derived from *werþan, *werþaz. Torp-Falk 394; Holthausen AEEW 390; Feist 547; Vries ANEW 655; Lehmann GED 391; Heidermanns 675.
*wesalaz adj.	ON vesall ‘bereft, poor, destitute’, MHG wesel ‘weak’. Related to Latv vęsęls ‘healthy, whole, unharmed’, Slav *veselъ ‘merry’. For the semantic development (suggesting taboo in Gmc) cf. *đapraz. Torp-Falk 379, 413 (to *wīsanan); Weisweiler IF XLI 332–333; Holthausen AEEW 399; Pokorny I 1123; Jóhannesson IEW 111; Krahe IF LVII 113 (adds Illyr prop. Veselia Felicetas); Mezger KZ LXXXIII 124–149, LXXXV 296 (a compound with the second element close to MHG sal, *saljanan); Vries ANEW 657; Vasmer-Trubachev I 303; Heidermanns 680–681.
*wesanan I str.vb.	Goth wisan ‘to be, to exist, to remain’, ON vesa, vera ‘to be, to exist’, OE wesan id., OFris wesa id., OS wesan id., OHG wesan id. Related to Hitt ḫ⁄eš- ‘to live, to be alive’, Toch B wäs- ‘to dwell, to abide’, Skt vásati ‘to dwell, to live, to stay’, Av van˘ haiti ‘to pause’, Arm gom ‘to be’, Gk aor. ἄ-εσα ‘to remain’, MIr fóaid ‘to remain, to stay’ (Meyer KZ XXII 530–532). The paradigm of this word is suppletive and highly regular. Present is based on IE *es- ‘to be’: 1 sg. *esmi (Goth im, ON em, OE eom); 3 pl. *senđi (Goth sind, OE sind, OFris sind, OS sind, OHG sint) identical with Hitt ašanzi, Skt sánti, Av h 6 nti, Gk Dor ἐντί, Lat sunt, Slav *sǫtь. Brugmann KVG 495; Zupitza Gutt. 34; Bartholomae 1394; Torp-Falk 405; Feist 567–568; Holthausen AEEW 391; Walde-Hofmann II 628–629; Jóhannesson IEW 165–166; Mayrhofer III 171–172; Pokorny I 1170–1171; Vries ANEW 657; Frisk I 25, 463–464; Seebold 561–562; Lehmann GED 304, 405–406; Puhvel III 420–429; Kluge- Seebold 886–887; Adams TB 597–598; Burlak IFTJa 256.
*wesanan II str.vb.	Goth wisan ‘to feast’, OHG fir-wesen ‘to spend’. Related to Hitt ⁄ešiƒa- ‘to graze’, Av vāstr 6 m ‘meadow, grass’, Lat uēscor ‘to live on’, OIr feis id. Wood Postcons. 54 (together with Lat uēscor < *gh⁄ēs-); Bartholomae 1414; Torp-Falk 405; Walde-Hofmann II 769; Feist 568; Pokorny I 1171; Rosén Festschrift Collinder 378–387 (identical with *wesanan ‘to be’); Seebold 562–563; Lehmann GED 406.
*weslan sb.n.	ON vesl ‘a kind of cloak’. Related to *wasjanan ~ *wazjanan. Structurally close to Toch A wsāl ‘garment’. Torp-Falk 404; Pokorny I 1172; Vries ANEW 657 (< *was(t)ilan); Lehmann GED 395.
*wesōn ~ *wezōn sb.f./m.	ON vera ‘dwelling’, OE ze-wesa ‘support’. Derived from *wesanan I. Holthausen AEEW 391; Vries ANEW 654.
*westan sb.n.	OE adv. west ‘West, westwards’, OFris west ‘West’, MLG west id., OHG adv. nord-west ‘in the north-west’. Continues *⁄es-to- close in derivation and original meaning to Skt vástu- ‘spending the night’, MW gwest ‘place of rest’, further to *⁄es- (see *wesanan I). Brugmann IF XIII 157–160 (identifies *⁄es- of *westan and of *⁄esperos); Kretschmer Glotta XXVII 232 (connected with wisi- in Uisigothae); Torp-Falk 405; Trautmann BSW 348; Schröder GRM XVII 421–427 (to Gk ὕστερος); Holthausen AEEW 391; Pokorny I 73 (to Skt avá˛ ‘downwards’), 1173–1174; Vries ANEW 658; Kluge-Seebold 887.
*westanē adv.	ON vestan ‘from the West’, OE westan id., OS westan, westana id., OHG sbst. westan ‘West’. Derived from *westan. For the formation, cf. Lith ūkanas ‘cloudy’ vs. vãkaras ‘evening’. Torp- Falk 405–406; Holthausen AEEW 392; Fraenkel 1159, 1186; Vries ANEW 658; Kluge-Seebold 887. *westiz I sb.f.: Goth wists ‘essence, nature’, ON vist ‘abode, dwelling, domicile’, OE æt-wist ‘substance, existence’, OHG wist ‘substance’. Identical with OIr feiss ‘staying, resting’ < *⁄esti-. Derived from *wesanan I. Torp-Falk 405; Feist 568; Pokorny I 1171; Vries ANEW 669; Zalizniak I 151; Lehmann GED 405; Seebold 561; Bammesberger Nom. 143.
*westiz II sb.f.	ON vist ‘food, provisions’, OE wist id., OS wist id., OHG wist id. Derived from *wesanan II. Cf. in particular OIr feis ‘food’ < *⁄es-t-ā. Holthausen AEEW 400; Vries ANEW 669 (to Lat uēscor ‘to eat’); Seebold 562; Lehmann GED 406.
*westrō sb.f.	MHG wester ‘baptismal dress’. Identical with Skt neut. vástra- ‘garment’, Gk γέστρα (sc. Wέστρα): đndusiw, στολή, flmãtia (Hes.). Further connected with *wasjanan ~ *wazjanan. Frisk I 521.
*westraz adj.	Burg sbst. *wistr ‘West’, ON adv. vestr ‘westwards’, OS adv. westar id., OFris adv. wester id., OHG westar ‘western’. Derived from *westan. Torp- Falk 405; Köbler 715.
*westrōnjaz adj.	ON vestrœnn ‘western’, OE westerne id., OS westrōni id., OHG westrōni id. Derived from *westraz. Holthausen AEEW 392; Vries ANEW 658.
*wes(u)lōn sb.f.	ON hreysi-visla ‘weasel’, OE wesle id., MLG wesele id., OHG wisula, wisala id. Somehow may be connected with a difficult Gk αἰέλουρος id. < *a- Wisel- (Schrader KZ X 462) or, more probably, to *wesalaz (for the semantic development cf. Slav *laska ‘caress, weasel’). Riegler Wu S IV 420 (to Lat uīsiō ‘seeing, vision’); Wiedemann BB XXVII 207 (to Slav *veselъ ‘merry’); Suolahti Germanica 112 (derived from OHG uuiessa ‘polecat’); Torp-Falk 413; Holthausen AEEW 390; Machek Zfsl Ph XXIII 121 (to a mistakenly reconstructed Slav *vьlasъka ‘Mustela vulgaris’); Pokorny I 1141; Vries ANEW 255; Frisk I 36; Onions 996; Kluge-Seebold 890.
*wetwō pron.	Goth wit ‘we (two)’, ON vit id., OE wit id., OS wit id. Identical with Lith vēdu id. < *⁄e-d⁄ō (Grimm DGn 343). Cf. further Skt gen.-dat.-acc. vām ‘both of us’, Av acc. vā ‘we two’, Slav *vî id. Meillet MSL XII 226–228, XIII 208– 209; Streitberg GE 60; Bartholomae 1310–1312; Torp-Falk 406; Holthausen AEEW 400; Prokosch CGG 284; Feist 569; Mayrhofer III 188; Pokorny I 1114; Fraenkel 1212; Vries ANEW 669; Onions 996; Lehmann GED 406.
*weþruz ~ *weþraz sb.m.	Goth wiþrus ‘lamb’, ON veär ‘wether’ (traces of ustem), OE weäer id., NFris wether id., OS wethar id., OHG widar id. Like many other words for (young) small cattle (Skt vatsá- ‘calf’, Alb viç id. < PAlb *wetuša, Lat uitulus id.), derived from *⁄et- ‘year’: Hitt ⁄itt-, Gk đtow, Alb vit, vjet (Johansson UUÅ 1927/1 85). Torp-Falk 385; Holthausen AEEW 392; Walde- Hofmann II 807–808; Feist 571; Mayrhofer III 133; Pokorny I 1175; Vries ANEW 649; Zalizniak II 205; Frisk I 583–584; Onions 1000; Hamp IF LXVI 52; Lehmann GED 408; Bammesberger Nom. 162; Orel AED 506–507, 509; Kluge-Seebold 888.
*wez ~ *wīz pron.	Goth weis ‘we’, ON vér id., OE wé id., OFris wī id., OS wī id., OHG wir id. Final *-z is secondary (due to the analogy with pl. forms). Related to Hitt ⁄ēš id., Toch A was, B wes id., Skt vayám id., Av vaēm id. Acc. Goth uns, ON oss, OE ús, OFris ūs, OS ūs, OHG uns-ih goes back to *uns- < IE *–s-, related to Toch A näß, B ñi≤‘we’, Skt acc.-gen.-dat. na˛ id., Av nō, nē id., Alb ne, na id., Lat nōs id., OIr ni id., Slav *ny id. Bartholomae 13357; Torp-Falk 406; Jensen IF XLVIII 122; Holthausen AEEW 385; Walde-Hofmann II 175–176; Feist 560; Mayrhofer III 147; Pokorny I 758; Vries ANEW 654; Onions 995; Schmidt Pron. 167–176 (forms with short vowels influenced by dual); Lehmann GED 378, 400; Orel AED 289; Kluge-Seebold 893; Burlak IFTJa 255.
*wēđiz sb.f.	ON váä ‘cloth, piece of stuff’ (ō- and i-stem), OE wæd, wæde ‘article of dress’, OFris wēd ‘garment’, OS wād id., OHG wāt id. Derived from *weđanan. Torp-Falk 386; Holthausen AEEW 378; Pokorny I 75–76 (to Lith áudžiau, áusti ‘to weave’); Vries ANEW 637; Zalizniak II 219; Onions 997; Bammesberger Nom. 136; Kluge-Seebold 876.
*wēđjanan wk.vb.	ON væäa ‘to clothe’, OE wædian id., OS wādian id., OHG wāten id. Derived from *wēđiz. Torp- Falk 386; Holthausen AEEW 378; Vries ANEW 671.
*wēzaz ~ *wēziz sb.m.	Goth wegs ‘storm, wave’ (dat. pl. wegim is from an i-stem), ON vágr ‘sea, wave’, OE wæz ‘movement, wave, water’ (< *wēzaz and *wēziz), OFris wēg ‘wave’, OS wāg id., OHG wāg ‘stream, sea’. Derived from *wezanan (Wissmann NP 1, 14). Cf. Skt vāhá- ‘driving, current’. Meillet Festschr. Andler 251 (originally athematic); Torp- Falk 383; Holthausen AEEW 379; Feist 556; Pokorny I 1119–1120; Vries ANEW 639; Zalizniak II 191; Seebold 543; Bammesberger Nom. 63; Kluge- Seebold 896.
*wēziz adj.	ON vægr ‘balancing (of scales), lenient’, MLG wēger ‘bent, favorable’ (< comp.), OHG un-wāgi ‘unimportant’. Derived from *wezanan. Karsten NB I 100; Torp-Falk 383; Pokorny I 1118– 1120; Vries ANEW 671; Seebold 543; Matzel Festschr. Schröder 102, 117, KZ CV 114; Heidermanns 661–662.
*wēziz ~ *wēzō sb.f.	ON vág ‘scales, balance’ (i- and root stems), OE wæz, wæze ‘weight, balance’, OS wāga ‘lanx’, OHG wāga ‘balance’. Derived from *wezanan or substantivized *wēziz. Torp-Falk 383; Holthausen AEEW 379; Pokorny I 1119– 1120; Vries ANEW 638; Zalizniak II 212; Onions 1000; Kluge-Seebold 869.
*wēzjanan wk.vb.	ON vægja ‘to give way, to yield’, OS wāzian ‘to move’. Derived from *wezanan. Vries ANEW 671.
*wēzjan sb.n.	ON vægi ‘weight, moment’, OE ze-wæze ‘weight, measure’, OHG giwāgi ‘weight’. Derived from *wezanan. Derivationally close to Slav *vîža ‘tower’ < *‘house on wheels’ (Potebnia RFV III 177; Meringer ZÖG LIV 392). Holthausen AEEW 379; Vries ANEW 671; Vasmer-Trubachev I 285.
*wējanan I str.vb.	Goth waian ‘to blow’, OE pres. wæweä id., OFris waja id., MDu waien id. Related to Skt vāti id., Av vāiti id., Gk ἄημι id., Slav *vîjati id. Bartholomae 1406; Torp-Falk 378–379; Trautmann BSW 345; Feist 541–542; Holthausen AEEW 385; Kluge 845, Festschr. Viëtor 106–108; Mayrhofer III 186; Pokorny I 83; Frisk I 26–27; Vasmer-Trubachev I 310; Seebold 539–540; Lehmann GED 388; Kluge- Seebold 879.
*wējanan II wk.vb.	OSwed via ‘to blow’, OHG wāen id. Derived from *wējanan I. Seebold 539.
*wēniþō sb.f.	ON vænd ‘expectance’, OFris wēnthe ‘hope’, OHG wānida ‘opinion’. Derived from *wēnjanan. Vries ANEW 671.
*wēniz I sb.f.	Goth wens ‘expectation, hope’, ON ván id., OE wén ‘supposition, opinion’, OFris wēn ‘idea, opinion’, OS wān ‘expectation, hope’ (masc.), OHG wān ‘guess, delusion, hope’ (masc.). Long grade of a root otherwise attested in *weniz. Related to Skt vanóti ‘to demand, to strive for, to like’, Lat uenus ‘love’, OIr fine ‘kinship, kin, family’. Derivationally close to Toch A wañi, B wīna ‘pleasure’. Meillet MSL IX 55 (to Lat uēnor ‘to hunt’); Torp-Falk 387; Walde-Hofmann II 752–753; Feist 561; Holthausen AEEW 404; Mayrhofer III 141–142; Pokorny I 1147; Vries ANEW 643; Zalizniak II 191; Onions 998; Lehmann GED 400–401; Bammesberger Nom. 136; Heidermanns 670; Kluge-Seebold 871; Adams TB 601–602.
*wēniz II adj.	ON vænn ‘promising, likely’, OE ze-wéne ‘perhaps’, OS ana-wāni ‘suspicious’, OHG ana-wāni id. Exocentric derivative of *wēniz I. Karsten NB I 97–98; Torp-Falk 387; Holthausen AEEW 404; Vries ANEW 671; Matzel KZ CV 111; Lloyd-Springer I 238; Heidermanns 670.
*wēnjanan wk.vb.	Goth wenjan ‘to hope’, ON væna id., OE wénan ‘to think, to suppose’, OFris wāna id., OS wānian ‘to fancy, to imagine’, OHG wānen ‘to suppose’. Derived from *wēniz I. Torp- Falk 387–388; Feist 561; Vries ANEW 671; Onions 998.
*wēpna-lausaz adj.	ON vápn-lauss ‘weaponless’, OE wæpen-leás ‘unarmed’, MLG wāpen-lōs ‘weaponless’. Compound of *wēpnan and *lausaz. Carr Nom. comp. 90 (parallel formations).
*wēpnan sb.n.	Goth wepn ‘weapon’, ON vápn id., OE wæpen id., OFris wēpin id., OS wāpan id., OHG wāfan id. Related to Toch B yepe ‘weapon, knife’ < *⁄ēb-en- (Van Windekens SL XXV 125–128). Zupitza Gutt. 19; Torp-Falk 391; Krogmann KZ LXV 143–144 (to Skt aor. vádhīm ‘to slay, to kill’); Holthausen AEEW 380; Feist 561; Vries ANEW 644; Zalizniak I 145; Onions 996; Lehmann GED 401; Kluge-Seebold 870; Adams TB 506.
*wēra-zanzjōn sb.m.	ON væringi ‘Varangian, Scandinavian’, OE wer-zenza ‘stranger who seeks protection’, Langob ware-gang id. Compound of *wēraz and *zanzjōn. Stender-Petersen APS VI 26 (originally, ‘member of a trade companionship’); Holthausen AEEW 381; Carr Nom. comp. 53; Vries ANEW 671–672.
*wēran sb.n.	ON vár ‘spring’. Related to Skt vasantá- id., Av van˘ ri id., Gk đar id., Lat uēr id., Lith ωάσαρα ‘summer’, Slav *vesna ‘spring’ and influenced phonetically by *jēran (Porzig Gliederung 110–111). Walde-Hofmann II 755; Pokorny I 1174; Vries ANEW 644–645; Frisk I 432–433; Huld JIES XVIII 420 (adds Toch A wsār ‘heap of grain’, B ysāre ‘grain’).
*wēraz adj.	Burg *wers ‘true’, OFris wēr id., OS wār id., OHG wār id. Related to Lat uērus id., OIr fír id., W gwīr id. See *wērō. Pedersen Kelt. Gr. I 50; Torp- Falk 395; Wissmann NP 117 (from Italic or Celt); Holthausen AEEW 381; Walde-Hofmann II 768; Pokorny I 1166; Seebold IF LXXVIII 146–162; Lehmann GED 350; Köbler 714; Heidermanns 671–672; Kluge-Seebold 871.
*wērjaz adj.	ON værr ‘comfortable, tranquil’, OHG wāri ‘true’. Derived from *wēraz. Torp-Falk 395; Vries ANEW 672; Sevilla Rodríguez Festschr. Adrados 455–458.
*wērō sb.f.	ON pl. várar ‘pledge, plight’, OE wær ‘covenant, agreement, pledge’, MLG wāre ‘truth’, OHG wāra ‘union, agreement’. Identical with Slav *vîra ‘belief, faith’ and maybe Gk Hom acc. sg. ἦρα ‘kindness’. Cf. *wēraz. Hirt PBB XXIII 337 (Slav < Gmc); Meillet Etudes 169; Torp-Falk 395; Holthausen AEEW 381; Wissmann Postv. 115–121 (isolates *wērō from *wēraz); Feist 484; Pokorny I 1165; Dybo VSJa 26; Vries ANEW 645; Zalizniak I 148; Frisk I 641; Vasmer-Trubachev I 292–293; Chantraine 415; Onions 992; Lehmann GED 350; Heidermanns 672.
*wēsan sb.n.	Icel vás ‘aura refrigerans’, Du waas ‘haze, mist’. Close to Skt vāsa- ‘perfume, fragrance’, Lith vësā ‘coolness’ (Persson Beiträge 11–12). Further connected with *wējanan I. Holthausen IF LXII 152; Mayrhofer III 197–198 (against comparison with Skt); Pokorny I 83; Fraenkel 1232.
*wētaz adj.	ON vátr ‘wet’, OE wæt id., OFris wēt id. A vṛddhi form related to *watnan ~ *watar. Identical with Hier. Luw wida- ‘watery’ (Watkins Fu W 373– 374). Karsten NB I 31; Torp-Falk 384; Holthausen AEEW 381; Pokorny I 80; Vries ANEW 648; Onions 1000; Darms Vṛddhi 13–24, 450; Bammesberger Nom. 255; Heidermanns 676–677.
*wētjanan wk.vb.	ON væta ‘to wet, to make wet’, OE wætan ‘to moisten, to wet’, OFris wēta id. Derived from *wētaz. Torp-Falk 384; Holthausen AEEW 381; Heidermanns 677.
*wētjōn sb.f.	ON væta ‘wetness, sleet, rain’, OE wæte ‘wet, moisture’. Derived from *wētaz. Holthausen AEEW 381; Vries ANEW 672.
*wētōn sb.m.	ON váta-drífa ‘fall of sleet’, OE wæta ‘wet, moisture’. Substantivized *wētaz. Holthausen AEEW 381; Heidermanns 677.
*wiđuwōn sb.f.	Goth widuwo ‘widow’, OE widuwe id., OFris widwe id., OS widowa id., OHG wituwa id. Etymologically connected with Skt vidhávā id., Av vidavā id., Lat uidua id., OIr fedb id., OPrus widdewū id., Slav *vьdova id. Bartholomae 1443; Torp-Falk 411; Trautmann BSW 357; Holthausen AEEW 393; Walde-Hofmann II 785–786; Feist 562; Mayrhofer III 211; Pokorny I 1128; Zalizniak I 156; Onions 1006; Vasmer- Trubachev I 281–282; Szemerényi Kinship 85; Lindeman Verschärfung 1.4; Lehmann GED 402; Bammesberger Nom. 179; Beekes KZ CV 181–182; Kluge- Seebold 895.
*wiđuz sb.m.	ON viär ‘tree, forest, wood’, OE widu, wudu ‘wood’, OS wido-hoppa ‘hoopoe’, OHG witu ‘wood’. Etymologically identical with OIr fid ‘tree, wood’, W gwydd. Cf. also Hom ἼΙδη < *⁄id⁄ā (Gindin apud Trubachev VJa XXXIII/2 26). Torp-Falk 411; Holthausen AEEW 393; Detschew Thr. 214; Pokorny I 1177; Vries ANEW 660; Zalizniak I 152; Onions 1012; Bammesberger Nom. 155.
*wixslan ~ *wixslaz sb.n./m.	ON á víxl ‘across’, OS wehsal ‘change, exchange’, OHG wehsal id. Related to Lat acc. uicem id. Zupitza Gutt. 210; Torp- Falk 407 (to *wīkanan); Walde-Hofmann II 781–782; Pokorny I 1131; Vries ANEW 671; Kluge-Seebold 877.
*wixslōjanan wk.vb.	ON víxla ‘to cross, to put across’, OE wíxlan ‘to change’, OFris wixlia id., OS wehslōn id., OHG wehsalōn id. Derived from *wixslan ~ *wixslaz. Holthausen AEEW 402; Vries ANEW 670.
*wikōn sb.f.	Goth wiko ‘sequence, τάξις’, ON vika ‘week, nautical mile’, OE wicu ‘week’, OFris wike id., OS wika id., OHG wehha id. Derived from *wīkanan (Grienberger Got. 241). Kluge DS 187 (the meaning ‘week’ developed under the influence of Lat uicem ‘exchange’); Torp-Falk 407; Holthausen AEEW 392; Feist 563 (against Grienberger); Pokorny I 1131 (to Lat uicem ‘exchange’); Vries ANEW 662; Zalizniak I 156; Onions 997; Lehmann GED 403; Kluge-Seebold 895.
*wippōjanan wk.vb.	Icel vippa ‘to seesaw’, ME wippen ‘to tremble’, MLG wippen ‘to rock, to swing’, OHG wipfōn ‘to wander’. Of imitative origin. Vries ANEW 667.
*wira-alđiz sb.f.	ON ver-ǫld ‘world’, OE weor-old id., OFris warld id., OLFrank wer-old id., OHG wer-alt id. Compound of *wiraz and *alđiz. Torp-Falk 20; Holthausen AEEW 390; Onions 1012; Kluge-Seebold 885.
*wira-þeuđō sb.f.	ON ver-þjóä ‘mankind, men’, OE wer-äeód ‘nation, people’. Compound of *wiraz and *þeuđō. Carr Nom. comp. 53.
*wira-wulfaz sb.m.	ON varg-úlfr ‘werewolf’, Norw var-ulf id., OE were-wulf id., MLG wer-wulf id., MHG wer-wolf id. Compound of *wiraz and *wulfaz with various taboo modifications in individual languages (e.g. with *wiraz replaced by *warzaz in ON). On the other hand, cf. an alternative reconstruction *wazi-wulfaz with the first component related to *wasjanan ~ *wazjanan. The Gmc word for werewolf will be then semantically identical with Slav *vьlko-dlakъ ‘werewolf’, with *dlakъ to *dlaka ‘animal hair, fur’. Vries ANEW 646; Onions 1000; Anikin BS 231–233.
*wiraz sb.m.	Goth wair ‘man’, ON verr id., OE wer id., OFris wer- id., OS wer id., OHG wer id. Belongs to IE *⁄iros ‘man’: Lat uir, OIr fer, W gwr. Other forms reflect *⁄īros like Skt vīrá- id., Av vīra- id., Umbr ueiro id., Lith vÿras id. Bartholomae 1453; Hirt Idg. Gr. II 187 (*-i-: *-ī- originally in compounds); Torp-Falk 412; Trautmann BSW 360; Holthausen AEEW 391; Walde-Hofmann II 796–797; Feist 544; Porzig Gliederung 124; Mayrhofer III 238–239; Pokorny I 1177–1178; Dybo VSJa 24 (pretonic shortening of *ī in Gmc, Celt and Lat); Chemodanov SGGJa I 101; Fraenkel 1258; Vries ANEW 657; Zalizniak I 137; Schulze Kl. Schr. 398 (long *-ī- from IE *⁄eƒes ‘strength’); Lehmann GED 389–390; Bammesberger Nom. 74; Schrijver LL 354 (follows Dybo); Kluge-Seebold 885.
*wiskō sb.f.	ON visk ‘wisp’, OE wisc id., MLG masc. wisch id., OHG masc. wisc id. Identical with Lat uirga ‘branch, twig’ < *⁄izgā. Kögel IF IV 317; Wood CPh VII 334 (to Lat uīscus ‘mistletoe’); Torp- Falk 413; Holthausen AEEW 399; Walde-Hofmann II 797–798; Pokorny I 1134; Vries ANEW 668; Onions 1003; Kluge-Seebold 894.
*wisnōjan wk.vb.	ON visna ‘to wither’, OE wisnian, weosnian ‘to wizen, to dry up’, OHG wesanēn ‘to wither’. Derived from *wīsanan. Torp-Falk 413; Holthausen AEEW 399; Onions 1010 (to Lat uiēscō ‘to shrink up, to shrivel’); Seebold 548; Kluge-Seebold 862.
*wissaz adj.	Goth un-wiss ‘uncertain’, ON viss ‘certain’, OE ze-wis id., OFris wiss id., OS wiss id., OHG gi-wis ‘definite, certain’. Derived from *waita. Continues *⁄id-to- as in Skt vittá- ‘known’, Gk ἄιστος ‘unknown’, OIr ro.fess ‘it is known’, Slav *vîstъ ‘known’ (with secondary vocalism). Karsten NB II 309; Torp- Falk 410; Feist 171, 364; Holthausen AEEW 399; Feist 526; Pokorny I 1125–1126; Vries ANEW 669; Vasmer- Trubachev I 304; Seebold 534; Lehmann GED 130–131; Bammesberger Nom. 249; Heidermanns 681–682; Kluge- Seebold 322–323.
