entry_headword_and_label	entry_text
*azwjō ~ *axwjō sb.f.	ON ey ‘island’, OE íz id., OFris a, ey id., OHG ouwa id. Pln. Oium (Jordanes 60.15) < Goth *aujan and -avia in Scandinavia belong here. Derived from *axwō (Bugge KZ XI 403–404). Torp-Falk 9; Holthausen AEEW 186; Feist 18; Pokorny I 23; Chemodanov SSGJa I 54; Zalizniak I 148; Vries ANEW 106; Onions 486; Darms Vṛddhi 25; Lehmann GED 13; Lloyd-Springer I 99–103; Bammesberger Nom. 113; Kluge-Seebold 61; Boutkan OFED s.v.
*azwnōjanan wk.vb.	OE eánian ‘to yean, to bring forth (of ewe)’, WFris eandje id., Du dial. oonen id. Based on the unattested *azwnaz identical with Lat agnus ‘lamb’, Gk ἀμνός id., OIr úan id., Slav *agnę id. Specifically close to Slav *agniti sę ‘to bring forth (of ewe)’. Meillet BSL XXIV 183–184 (isolates Gk and Lat); Walde-Hofmann I 23; Chemodanov SGGJa I 59; Pokorny I 9; Frisk I 93; Onions 1019; Trubachev Zhiv. 71–73, ESSJa I 54–55; Dybo BSA 123–124.
*axaz(an) sb.n.	Goth ahs ‘ear of grain’, ON ax id., OE ear id., OFris ār id., OS ahar id., OHG ehir id. Related to Toch B āk ‘ear of grain (?)’, Gk ἄχνη ‘foam, chaff’ < *a˚snā, Lat acus id. (s-stem), Slav *ostь ‘spike of corn, sharp point’, *osera ‘ear, spike of corn’. Zupitza Gutt. 129; Torp-Falk 7–8; Holthausen AEEW 85; Walde-Hofmann I 11; Feist 17–18; Pokorny I 22; Chemodanov SGGJa I 63; Vries ANEW 21; Frisk I 202; Zalizniak II 223; Onions 297; Vasmer-Trubachev III 167; Trubachev Etim. 1968 60 (OHG ahir < *a˚ero- = Slav *osera, Lith ašer‹s ‘perch’); Lehmann GED 12; Lloyd- Springer I 95–98; Bammesberger Nom. 212; Kluge-Seebold 21; Adams TB 35–37.
*axiraz ~ *axuraz sb.m.	Dan ær ‘maple’, Germ dial. Acher id. Related to Lat acer id. Walde-Hofmann I 6–7; Pokorny I 20.
*axjanan wk.vb.	ON æja ‘to bait, to rest’. Probably derivationally close to Skt āśayati ‘to make eat’ (to Skt aśnāti ‘to eat, to consume’). Torp-Falk 8; Mayrhofer I 60; Pokorny I 18.
*axmaz sb.m.	Swed dial. àm ‘swamp grass’. Derivationally similar to Gk ἀκμή ‘point, edge’ < *a˚-m- ‘sharp point’. Pokorny I 19; Frisk I 153–54.
*axslō sb.f.	ON ǫxl ‘shoulder-joint’ (from fem. *axsliz), OE eaxel ‘shoulder’, eaxle id. (ōn-stem), OFris axle, axele id., OS ahsla id., OHG ahsla id. (ō- and ōn-stem). Derived from *axsō. Derivationally similar to Lat āla id. < *a·slā. Zupitza Gutt. 187; Reichelt Wu S XII 112–114; Torp-Falk 8; Holthausen AEEW 87; Walde-Hofmann I 25; Pokorny I 6; Chemodanov SGGJa I 89; Vries ANEW 689; Zalizniak II 195; Lloyd-Springer I 114–116; Kluge-Seebold 12.
*axsō sb.f.	OE eax ‘axis, axle’, OFris axe id., MLG asse id., OHG ahsa id. Related to Skt ákṣa- ‘axle’, Gk ἄξων id., Lat axis id., OIr aiss id., Lith ašīs id., Latv ass id., Slav *osь. Torp-Falk 8; Meillet BSL XXV 144; Trautmann BSW 14–15; Reichelt Wu S XII 112–114; Holthausen AEEW 87; Benveniste Origines 7; Walde- Hofmann I 89; Mayrhofer I 16; Pokorny I 6; Chemodanov SGGJa I 108; Fraenkel 19; Frisk I 116; Zalizniak I 146; Vasmer-Trubachev III 167–168; Lloyd-Springer I 113–114; Kluge-Seebold 11–12.
*axsulaz sb.m.	ON ǫxull ‘axle’. Derived from *axsō. Derivationally close to W echel id., Bret ahel id. < *aksilā. Torp-Falk 8; Pokorny I 185; Kluge-Seebold 11.
*axtōu num.	Goth ahtau ‘eight’, ON átta id., OE eahta id., OFris achta id., OS ahto id., OHG ahto id. Continues the Indo- European word for ‘eight’: Toch A okät, B okt-, Skt aṣṭáu, aṣṭā, Av ašta, Gk ὀκτώ, Arm ut', Lat octō, OIr ocht n-, Lith aštuonī. Zupitza Gutt. 188; Bartholomae 260; Torp-Falk 8; Muller IF XLIV 137– 138; Pedersen Kelt. Gr. I 103, 392; Walde-Hofmann II 199–200; Feist 18; Mayrhofer I 63; Pokorny I 22, 775; Fraenkel 19–20; Vries ANEW 17; Frisk II 374–375; Onions 304; Lehmann GED 12; Lloyd-Springer I 121–124; Ross- Berns Numerals 588–589; Kluge-Seebold 12; Adams TB 110; Boutkan OFED s.v.
