example_id,pdf_page,split_file,heading,text
5.19,509,06-chapter-5-phonology.md,"5.5.2 Accentual Realization, Mobility, and Adjustments in Domain",(5.19)          dóktori-té              ‘the doctors’\ndoctor.pl-def.pl
5.20,509,06-chapter-5-phonology.md,"5.5.2 Accentual Realization, Mobility, and Adjustments in Domain",(5.20)          krástavíca ‘cucumber’
5.21c,509,06-chapter-5-phonology.md,"5.5.2 Accentual Realization, Mobility, and Adjustments in Domain",(5.21c):\n(5.21)       a. kázvamé                         ‘we say’\nsay.1pl.prs\nb. práznuválo      sé              e ‘it was celebrated; there was celebration’\ncelebrate.lf. n int r           is\nc. pásmo-tó                         ‘the skein’\nskein.sg-def.sg
5.22,511,06-chapter-5-phonology.md,5.5.3 The Prosody of “Clitics”,(5.22)       a. Romanian:           om-ul               ‘the man’\nman-the\nb. Macedonian:         grad-ot             ‘the city’\ncity-the\nc. Bulgarian:          pesen-ta            ‘the song’\nsong-the\nd. Albanian:           kal-i               ‘the horse’\nhorse-the
5.23,511,06-chapter-5-phonology.md,5.5.3 The Prosody of “Clitics”,(5.23)       a. Romanian:           om-ul         bun    ‘the good man’\nman-the       good\nb. Macedonian:         grad-ot       nov    ‘the new city’ (marked order and effect)\ncity-the      new\nc. Bulgarian:          pesen-ta      xubava ‘the nice song’ (marked order and effect)\nsong-the      nice\nd. Albanian:           kal-i         i madh ‘the big horse’\nhorse-the     pc big
5.24,511,06-chapter-5-phonology.md,5.5.3 The Prosody of “Clitics”,(5.24)       a. Romanian:           bun-ul              om        ‘the good man’        /    *bun om-ul\ngood-the            man\nb. Macedonian:         nov-iot             grad      ‘the new city         /    *nov grad-ot\nnew-the             city\nc. Bulgarian:          xubava-ta           pesen     ‘the nice song’       /    *xubava pesen-ta\nnice-the            song\nd. Albanian:           i madh-i            kal       ‘the big horse’       /   *i madh kal-i\npc big-the          horse
5.25,512,06-chapter-5-phonology.md,5.5.3 The Prosody of “Clitics”,"(5.25)      a. θα βλέπω ‘I will see’ / *βλέπω θα\nb. θα βλέπεις τον          Γιάννη?               Ναι, *θα ‘Will you see John? Yes, I will [see John]’\nfut see.2sg the.acc John.acc                 yes      (cf. Eng *Yes, I’ll)"
5.26,512,06-chapter-5-phonology.md,5.5.3 The Prosody of “Clitics”,"(5.26)      a. kje vidite ‘you will see’ / *vidite kje\nb. kje go vidite Ivan? Da, *kje Ø ‘Will you see John? Yes, I will [see John]’\nfut him see.2sg John yes                (cf. Eng *Yes, I’ll)"
5.27,513,06-chapter-5-phonology.md,5.5.3 The Prosody of “Clitics”,"(5.27)       a. do (të) shikosh ‘you will see’ / *(të) shikosh do\nb. do ta          shikosh Gjonin? Po, *do (të) Ø\nfut dms.him see.2sg John          Yes\n‘Will you see John? Yes, I will [see John]’ (cf. Eng *Yes, I’ll)"
5.25,513,06-chapter-5-phonology.md,5.5.3 The Prosody of “Clitics”,"(5.25)–(5.27), they cannot, for instance, be elliptical one-word answers in\nquestions, as shown in (5.28a), though strong, accented, forms of the pronouns\ncan function in that way, as in (5.28b); again, the behavior of strong and weak\nforms in ellipsis is illustrated with one language, here Macedonian, but the\npattern of grammaticality and ungrammaticality indicated here is duplicated in\nall the languages:\n(5.28)       a. Dali go      gledate nego     ili ja     gledate nea? *Go /      *Ja (Mac)\nQ him.wk see.2pl him.str or her.wk see.2pl her.str him.wk         her.wk\n‘Do you see him or do you see her? *’Im. / *’Er.’\nb. Dali go      gledate nego        ili ja     gledate nea? Négo. /    Néa.\nQ him.wk see.2pl him.str or her.wk see.2pl her.str him.str her.str\n‘Do you see him or do you see her? Him. / Her.’"
5.29,513,06-chapter-5-phonology.md,5.5.3 The Prosody of “Clitics”,(5.29)       a. τον        βλέπεις         /      βλέπε           τον      (Grk)\nhim.wk see.2sg                    see.2sg.impv him.wk\n‘You do see him’                  ‘See him!’\nb. zova       go               /     Az         go       zova     (Blg)\ncall.1sg him.wk                   I.nom      him.wk call.1sg\n‘I call him’                      ‘I call him’
5.30c,516,06-chapter-5-phonology.md,5.5.3 The Prosody of “Clitics”,"(5.30c); this positioning can be taken as a prosodic characteristic, specifically\na prosodic deficiency, since it means that the form does not have the full range of\nordering possibilities that a free word has, and this prosodic characteristic is\ncarried along with the form when it is borrowed into the Romani of North\nMacedonia, as shown in (5.30de):186\n(5.30)      a. Vo Bitola li kje odiš?     ‘Are you going to Bitola (as opposed to Struga)?’\nto B.       q fut go.2sg\nb. Vo Bitola kje odiš li? ‘Are you going to Bitola (as opposed to telephoning)?’\nc. *Kje odiš vo Bitola li?\nd. šunea    li? ‘Do you hear?’\nhear.2sg q\ne. lake      li phučna? ‘Are they asking about her?’(Bugurdži, Jusuf 1974)\nher.dat q ask.2sg"
