example_id,pdf_page,split_file,heading,text
4.33,376,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.2.1 Shared Expressions Rooted in Folk Culture,"(4.33)          Alb     lumi flen armiku nuk flen/Lumi fle, hasmi s’fle [Ikonomov 1968: 45]\n(= ‘river.def sleeps enemy.def not sleeps’)"
4.34,377,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.2.1 Shared Expressions Rooted in Folk Culture,"(4.34)          Blg     ljubovta e kato muha: i na med kačva, i na govno kačva\nTrk     sevda sinek gibidir, bala da konar, boka da konar\n‘Love is like a fly, it lands on honey, and it lands on shit.’"
4.35,378,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.2.2 Shared Everyday Expressions,(4.35)          Alb      qysh të thonë?       [si qyhesh]\nAro      cumu-ţĭ dzic?
4.36,378,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.2.2 Shared Everyday Expressions,(4.36)          Mac      kako [da] ne?\nRmn      cum nu?
4.37,379,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.2.2 Shared Everyday Expressions,(4.37)          Alb      mirë se erdhët\nBlg      dobre došli
4.38,379,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.2.2 Shared Everyday Expressions,(4.38)          Alb      mirë se ju gjeta\nBlg      dobre nameril
4.39,379,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.2.2 Shared Everyday Expressions,(4.39)          Alb       Çka po bën? Mirë.\nAro       Tsi fats? Gine.
4.40,381,05-chapter-4-lexicon-and-semantics.md,4.3.10.1.2.2 Shared Everyday Expressions,(4.40)          Alb      rruga e mbarë\nAro      calea mbar/cale-ambar
4.42,383,05-chapter-4-lexicon-and-semantics.md,4.3.10.2 Prepositional Calques352,(4.42)       a. Kaloi                nga                   shtëpia             (Alb)\npassed.3sg           from                  house.def\nb. πέρασε               από                   το σπίτι            (Grk)\npassed.3sg           from                  the house\nc. ev-den               geç-ti                                    (Trk)\nhouse-abl            pass-pst.3sg\nd. minava               iz                    ulicata             (Blg)\npasses.3sg           from                  street.def\ne. sokak-tan            geçer                                    (Trk)\nstreet-abl           passes.3sg
4.43,383,05-chapter-4-lexicon-and-semantics.md,4.3.10.2 Prepositional Calques352,(4.43)       a. po-sladok     ot   med                                            (Blg)\ncmpv-sweet from honey\nb. posladok      od   med                                            (Mac)\ncmpv.sweet from honey\nc. γλυκύτερο     από     το μέλι                                     (Grk)\nsweet.cmpv from       the honey\nd. mai     dulce decât             mierea                             (Rmn)\nmore sweet from.how.much honey.the\ne. avgin-dar    pogudlo      / daa    gudlo                          (Rmi)355\nhoney-abl cmpv.sweet / more sweet\nf. bal-dan      (daha) tatlı                                         (Trk)\nhoney-abl more       sweet\n(4.44)          më     e      ëmbel se               /    *nga    mjalti           (Alb)\nmore PC sweet than                   /    from    honey.def\n‘sweeter than honey’
4.45,384,05-chapter-4-lexicon-and-semantics.md,4.3.10.2 Prepositional Calques352,(4.45)          Grk      με το τρένο            (το = def.art)\nAlb      me tren (indf) / trenin (def)
4.46,384,05-chapter-4-lexicon-and-semantics.md,4.3.10.2 Prepositional Calques352,(4.46)          Itl       con il treno ‘with the train’\nSwed      med tåg-et ‘with train-the’
