category	form	line	pdf_page	source_page	context
slash_phonemic	/l/	2016	pdf-120	104	In most Algonkian languages *θ first merged with *l as *l; the result was a system in which some */l/ were palatalized to *[ʃ] before high front vocalics, while others were not. Some languages leveled the alternation; others, including Fox, generalized it to all */l/’s. Subsequently */l/ – which now
slash_phonemic	/n/	2016	pdf-120	104	In most Algonkian languages *θ first merged with *l as *l; the result was a system in which some */l/ were palatalized to *[ʃ] before high front vocalics, while others were not. Some languages leveled the alternation; others, including Fox, generalized it to all */l/’s. Subsequently */l/ – which now
bracket_phonetic	[ʃ]	2016	pdf-120	104	In most Algonkian languages *θ first merged with *l as *l; the result was a system in which some */l/ were palatalized to *[ʃ] before high front vocalics, while others were not. Some languages leveled the alternation; others, including Fox, generalized it to all */l/’s. Subsequently */l/ – which now
slash_phonemic	/k/	2018	pdf-120	104	9. Archaic Latin spelling of the velar stops was somewhat confused (for reasons having to do with the origin of the Roman alphabet). The voiceless velar stop /k/ was variously spelled c, k, and q; but the voiced stop /g/ was originally also spelled with c (i.e. with gamma, e.g. in ‘king’ and ‘girl’ 
slash_phonemic	/g/	2018	pdf-120	104	9. Archaic Latin spelling of the velar stops was somewhat confused (for reasons having to do with the origin of the Roman alphabet). The voiceless velar stop /k/ was variously spelled c, k, and q; but the voiced stop /g/ was originally also spelled with c (i.e. with gamma, e.g. in ‘king’ and ‘girl’ 
reconstructed_star	*-tu-	2020	pdf-120	104	10. In the last three examples in Table 5.11 the first form is the usual Latin present infinitive; the second, called the “supine,” is used to express purpose when governed by a verb of motion. The supine suffix was etymologically *-tu- but had been reanalyzed as /-su-/ in some verbs, e.g. manēre, m
slash_phonemic	/-su-/	2020	pdf-120	104	10. In the last three examples in Table 5.11 the first form is the usual Latin present infinitive; the second, called the “supine,” is used to express purpose when governed by a verb of motion. The supine suffix was etymologically *-tu- but had been reanalyzed as /-su-/ in some verbs, e.g. manēre, m
reconstructed_star	*i	2023	pdf-120	104	Underlying  Before *i, *y  Elsewhere
reconstructed_star	*y	2023	pdf-120	104	Underlying  Before *i, *y  Elsewhere
slash_phonemic	/θ/	2024	pdf-120	104	*/θ/       *[ʃ]        *[θ]
bracket_phonetic	[θ]	2024	pdf-120	104	*/θ/       *[ʃ]        *[θ]
slash_phonemic	/r/	2025	pdf-120	104	*/l/        *[l]        *[l]       (or possibly */r/, = [r] in all environments)
bracket_phonetic	[l]	2025	pdf-120	104	*/l/        *[l]        *[l]       (or possibly */r/, = [r] in all environments)
bracket_phonetic	[r]	2025	pdf-120	104	*/l/        *[l]        *[l]       (or possibly */r/, = [r] in all environments)
bracket_phonetic	[n]	2026	pdf-120	104	*/n/       *[n]        *[n]
bracket_phonetic	[–fr]	2045	pdf-122	106	C  V  C  V  C  V  C  C [–fr]  [+fr]  [4height]
bracket_phonetic	[+fr]	2045	pdf-122	106	C  V  C  V  C  V  C  C [–fr]  [+fr]  [4height]
bracket_phonetic	[4height]	2045	pdf-122	106	C  V  C  V  C  V  C  C [–fr]  [+fr]  [4height]
reconstructed_star	*Figure	2047	pdf-122	106	**Figure 6.1 First assimilation of Old English gædeling**
reconstructed_star	*gaduling	2057	pdf-122	106	distinctive features. In Old English (OE), for example, the inherited word *gaduling ‘kinsman, companion’ (attested in that form in Old Saxon) became *gædyling: the high vowel of the second syllable was fronted because the vowel of the last syllable was high and front; then, since the second syllabl
reconstructed_star	*gædyling	2057	pdf-122	106	distinctive features. In Old English (OE), for example, the inherited word *gaduling ‘kinsman, companion’ (attested in that form in Old Saxon) became *gædyling: the high vowel of the second syllable was fronted because the vowel of the last syllable was high and front; then, since the second syllabl
bracket_phonetic	[1]	2063	pdf-122	106	sented by an n-ary feature with values [1] (low) to [4] (high)), and the second as in
bracket_phonetic	[4]	2063	pdf-122	106	sented by an n-ary feature with values [1] (low) to [4] (high)), and the second as in
bracket_phonetic	[-cont]	2071	pdf-122	106	Autosegmental phonology also gives an insightful account of the details of the Sanskrit retroflex assimilation rule. To make the analysis of Sanskrit retroflexion intelligible we must first describe the relevant subsystem of sounds in some detail – a task which is possible thanks to the extraordinar
bracket_phonetic	[retr]	2075	pdf-123	107	[retr] All nasal stops are [+son, +vce]; the variety of laryngeal features associated with oral stops (which are [−son]) are not relevant here. The only underlying fricatives in the language (which are [−son, +cont]) are laryngeal (also not relevant) and sibilant; the sibilant fricatives have the fo
bracket_phonetic	[+son, +vce]	2075	pdf-123	107	[retr] All nasal stops are [+son, +vce]; the variety of laryngeal features associated with oral stops (which are [−son]) are not relevant here. The only underlying fricatives in the language (which are [−son, +cont]) are laryngeal (also not relevant) and sibilant; the sibilant fricatives have the fo
bracket_phonetic	[−son]	2075	pdf-123	107	[retr] All nasal stops are [+son, +vce]; the variety of laryngeal features associated with oral stops (which are [−son]) are not relevant here. The only underlying fricatives in the language (which are [−son, +cont]) are laryngeal (also not relevant) and sibilant; the sibilant fricatives have the fo
bracket_phonetic	[−son, +cont]	2075	pdf-123	107	[retr] All nasal stops are [+son, +vce]; the variety of laryngeal features associated with oral stops (which are [−son]) are not relevant here. The only underlying fricatives in the language (which are [−son, +cont]) are laryngeal (also not relevant) and sibilant; the sibilant fricatives have the fo
