entry_number,first_author_or_label,year,printed_page_start,printed_page_end,pdf_page_start,pdf_page_end,reference
182,Lühr,1984,339,339,350,350,"Lühr, R. (1984). ‘Reste der athematischen Konjugation in den germanischen Sprachen’, in Untermann, J., and Brogyanyi, B. (edd.), Das Germanische und die Rekonstruktion der indogermanischen Grundsprache (Amsterdam: Benjamins) 25–90. Luick, K. (1914–1940). Historische Grammatik der englischen Sprache. Band 1. Stuttgart: Tauchnitz."
183,Lundquist,2015,339,339,350,350,"Lundquist, J. (2015). ‘On the accentuation of Vedic -ti-abstracts: evidence for accentual change’, Indo-European Linguistics (Leiden: Brill) 3: 42–72."
184,Mair,1998,339,339,350,350,"Mair, V. (ed.) (1998). The Bronze Age and early Iron Age peoples of eastern Central Asia. Washington, D.C.: Institute for the Study of Man."
185,Mallory,1989,339,339,350,350,"Mallory, J. P. (1989). In search of the Indo-Europeans. London: Thames & Hudson."
186,Mallory,2006,339,339,350,350,"Mallory, J. P. and Adams, D. Q. (2006). The Oxford introduction to Proto-Indo-European and the Proto-Indo-European world. Oxford: Oxford University Press."
187,Matzel,1983,339,339,350,350,"Matzel, K. (1983). ‘Zum gotischen Interrogativ- und Indefinitpronomen ƕo.’ Zeitschrift für vergleichende Sprachforschung 96: 119–26. (= Gesammelte Schriften [ed. Rosemarie Lühr et al.; Heidelberg 1990: Winter] 170–7.)"
188,Matzel,1989,339,339,350,350,"Matzel, K. (1989). ‘Urgerm. *arjan, ahd. erien, erren ‘pflügen’, in Tauber, W. (ed.), Aspekte der Germanistik: Festschrift für Hans-Friedrich Rosenfeld zum 90. Geburtstag (Göppingen: Kümmerle) 455–68."
189,Mayrhofer,1970,339,339,350,350,"Mayrhofer, M. (1970). ‘Germano-Iranica’, Zeitschrift für vergleichende Sprachforschung 84: 224–30."
190,Mayrhofer,1981,339,339,350,350,"Mayrhofer, M. (1981). ‘Laryngalreflexe im Indo-Iranischen’, Zeitschrift für Phonetik, Sprachwissenschaft und Kommunikationsforschung 34: 427–38."
191,Mayrhofer,1983,339,339,350,350,"Mayrhofer, M. (1983). ‘Ergebnisse einer Überprüfung des indogermanischen Ansatzes “Thorn” ’, Anzeiger der phil.-hist. Klasse der Österreichischen Akademie der Wissenschaften 119: 240–55."
192,Mayrhofer,1986,339,339,350,350,"Mayrhofer, M. (1986). ‘Lautlehre (segmentale Phonologie des Indogermanischen)’, in Cowgill and Mayrhofer 1986: 73–216. Mayrhofer, M. (1986–2001). Etymologisches Wörterbuch des Altindoarischen. Heidelberg: Winter."
193,Mayrhofer,1989,339,339,350,350,"Mayrhofer, M. (1989). ‘Vorgeschichte der iranischen Sprachen; Uriranisch’, in Schmidt, R. (ed.), Compendium linguarum iranicarum (Wiesbaden: Reichert) 4–24."
194,Mayrhofer,1980,339,339,350,350,"Mayrhofer, M., Peters, M., and Pfeiffer, O. E. (edd.) (1980). Lautgeschichte und Etymologie. Wiesbaden: Reichert."
195,McCone,1991,339,339,350,350,"McCone, K. (1991). The Indo-European origins of the Old Irish nasal presents, subjunctives, and futures. Innsbruck: Institut für Sprachwissenschaft der Universität Innsbruck."
196,McFadden,2003,339,339,350,350,"McFadden, T. (2003). ‘On the pronominal origins of the Germanic strong adjective inflection’, Münchener Studien zur Sprachwissenschaft 63: 53–82."
197,McKay,1965,340,340,351,351,"McKay, K. L. (1965). ‘The use of the Ancient Greek perfect down to the second century A.D.’, Bulletin of the Institute of Classical Studies 12: 1–21."
198,McKay,1980,340,340,351,351,"McKay, K. L. (1980). ‘On the perfect and other aspects in the Greek non-literary papyri’, Bulletin of the Institute of Classical Studies 27: 23–49."
199,Meid,1967,340,340,351,351,"Meid, W. (1967). Germanische Sprachwissenschaft. III. Wortbildungslehre. Berlin: de Gruyter."
200,Meid,1971,340,340,351,351,"Meid, W. (1971). Das germanische Präteritum: indogermanische Grundlagen und Ausbreitung im Germanischen. Innsbruck: Institut für Sprachwissenschaft der Universität Innsbruck."
201,Meid,1987,340,340,351,351,"Meid, W. (1987). ‘Germanische oder indogermanische Lautverschiebung?’, in Bergmann, R., Tiefenbach, H., and Voetz, L., Althochdeutsch, Band I (Heidelberg: Winter) 3–11."
202,Meier-Brügger,2010,340,340,351,351,"Meier-Brügger, M. (2010). Indogermanische Sprachwissenschaft. 9th ed. Berlin: de Gruyter."
203,Melchert,1977,340,340,351,351,"Melchert, H. C. (1977). ‘Tocharian verb stems in -tk-’, Zeitschrift für vergleichende Sprachforschung 91: 93–130."
204,Melchert,1987,340,340,351,351,"Melchert, H. C. (1987). ‘PIE velars in Luvian’, in Watkins (ed.) 1987: 182–204. Melchert, H. C. (1994a). Anatolian historical phonology. Amsterdam: Rodopi. Melchert, H. C. (1994b). ‘The feminine gender in Anatolian’, in Dunkel, G. E. et al. (edd), Früh-, Mittel-, Spätindogermanisch (Wiesbaden: Reichert) 231–44. Melchert, H. C. (1997a). ‘Denominative verbs in Anatolian’, in Disterheft, D., Huld, M., and Greppin, J. (edd.), Studies in honor of Jaan Puhvel. Part One: ancient languages and philology (Washington: Institute for the Study of Man) 131–8. Melchert, H. C. (1997b). ‘Traces of a PIE aspectual contrast in Anatolian?’, Incontri linguistici 20: 83–92."
205,Melchert,2003,340,340,351,351,"Melchert, H. C. (2003). ‘PIE “thorn” in Cuneiform Luvian?’, in Jones-Bley, K. et al. (edd.), Proceedings of the Fourteenth Annual UCLA Indo-European Conference (Washington, DC: Institute for the Study of Man) 145–61."
206,Melchert,2005,340,340,351,351,"Melchert, H. C. (2005). ‘Latin īnsolēscō, Hittite šulle(šš)-, and PIE statives in -ē-’, in Kazansky, N. et al. (edd.), Hr̥dā ́ mánasā: studies presented to Professor Leonard G. Herzenberg (St. Petersburg: Nauka) 90–8."
207,Melchert,2009,340,340,351,351,"Melchert, H. C. (2009). ‘Local adverbs in Hittite: synchrony and diachrony’, Language and Linguistics Compass 3: 607–20."
208,Melchert,2011,340,340,351,351,"Melchert, H. C. (2011). ‘The PIE verb for ‘to pour’ and medial *h3 in Anatolian’, in Jamison, S. W., Melchert, H. C., and Vine, B. (edd.), Proceedings of the 22nd Annual UCLA Indo-European Conference (Bremen: Hempen) 127–32. Melchert, H. C. (2012a). ‘Genitive case and possessive adjective in Anatolian’, in Orioles, V. (ed.), Per Roberto Gusmani: linguistica storica e teorica (Udine: Forum) 273–86. Melchert, H. C. (2012b). ‘Luvo-Lycian dorsal stops revisited’, in Sukač and Šefčik (edd.) 2012: 206–18. Melchert, H. C. (2014a). ‘ “Narten formations” versus “Narten roots” ’, Indogermanische Forschungen 119: 251–8. Melchert, H. C. (2014b). ‘PIE *-eh2 as an “individualizing” suffix and the feminine gender’, in Neri and Schuhmann (edd.) 2014: 257–71."
209,Melchert,2016,340,340,351,351,"Melchert, H. C. (2016). ‘The case of the agent in Anatolian and Proto-Indo-European’, in Gunkel et al. 2016: 239–49."
210,Melchert,2009,340,340,351,351,"Melchert, H. C., and Oettinger, N. (2009). ‘Ablativ und Instrumental im Hethitischen und Indogermanischen: ein Beitrag zur relativen Chronologie’, Incontri linguistici 32: 53–73."
211,Merlingen,1957,341,341,352,352,"Merlingen, W. (1957). ‘Idg. “þ” und Verwandtes’, in Μνήμης χάριν: Gedenkschrift Paul Kretschmer (Vienna: Wiener Sprachgesellschaft) 49–61."
212,Merlingen,1962,341,341,352,352,"Merlingen, W. (1962). ‘Zu idg. “þ” ’, Die Sprache 8: 74–6."
213,Mottausch,2003,341,341,352,352,"Mottausch, K.-H. (2003). ‘Das thematische Verb im Indogermanischen und seine Verwandten’, Historische Sprachforschung 116: 1–34."
214,Mottausch,2011,341,341,352,352,"Mottausch, K.-H. (2011). Der Nominalakzent im Frühurgermanischen. Hamburg: Verlag Dr. Kovač."
215,Mottausch,2013,341,341,352,352,"Mottausch, K.-H. (2013). Untersuchungen zur Vorgeschichte der germanischen starken Verbs. Die Rolle des Aorists. Hamburg: Verlag Dr. Kovač."
216,Narten,1964,341,341,352,352,"Narten, J. (1964). Die sigmatischen Aoriste im Veda. Wiesbaden: Harrassowitz."
217,Narten,1968,341,341,352,352,"Narten, J. (1968). ‘Zum “proterodynamischen” Wurzelpräsens’, in Heesterman, J. C., Schokker, G. H., and Subramoniam, V. I. (edd.), Pratidānam (The Hague: Mouton) 9–19."
218,Nedoma,2005,341,341,352,352,"Nedoma, R. (2005). ‘Urnordisch -a im Nominativ Singularis der maskulinen n-Stämme’, North-Western European Language Evolution 46/47: 155–91."
219,Neri,2003,341,341,352,352,"Neri, S. (2003). I sostantivi in -u del gotico. Innsbruck: Institut für Sprachen und Literaturen der Universität Innsbruck."
220,Neri,2009,341,341,352,352,"Neri, S. (2009). Review of Ringe, D., From Proto-Indo-European to Proto-Germanic (1st ed., 2006), Kratylos 54: 1–13."
221,Neri,2014,341,341,352,352,"Neri, S., and Schuhmann, R. (edd.) (2014). Studies on the collective and feminine in Indo-European from a diachronic and typological perspective. Leiden: Brill."
222,Neu,1979,341,341,352,352,"Neu, E., and Meid, W. (edd.) (1979). Hethitisch und Indogermanisch. Innsbruck: Institut für Sprachwissenschaft der Universität Innsbruck."
223,Newton,2005,341,341,352,352,"Newton, G. (2005). ‘The contribution of the Old Irish verbal system to the reconstruction of Proto-Indo-European syntax’, Papers in Linguistics from the University of Manchester 2005: 95–112."
224,Nielsen,1985,341,341,352,352,"Nielsen, H. F. (1985). Old English and the continental Germanic languages. Innsbruck: Institut für Sprachwissenschaft der Universität Innsbruck."
225,[No ed.],1926,341,341,352,352,[No ed.] (1926). Festschrift für Paul Kretschmer. Vienna: Deutscher Verlag für Jugend und Volk.
226,Noreen,1923,341,341,352,352,"Noreen, A. (1923). Altnordische Grammatik I: altisländische und altnorwegische Grammatik, 4th ed. Halle: Niemeyer."
227,Normier,1977,341,341,352,352,"Normier, R. (1977). ‘Idg. Konsonantismus, germ. “Lautverschiebung”, und Vernersches Gesetz’, Zeitschrift für vergleichende Sprachforschung 91: 171–218."
228,Normier,1980,341,341,352,352,"Normier, R. (1980). ‘Tocharisch ñkät/ñakte ‘Gott’’, Zeitschrift für vergleichende Sprachforschung 94: 251–81."
229,Noske,2012,341,341,352,352,"Noske, R. (2012). ‘The Grimm-Verner chain shift and contrast preservation theory’, in Botma, B., and Noske, R. (edd.), Phonological explorations: empirical, theoretical and diachronic issues (Berlin: de Gruyter) 63–86."
230,Noyer,1997,341,341,352,352,"Noyer, R. R. (1997). Features, positions, and affixes in autonomous morphology. New York: Garland."
231,Nussbaum,1975,341,341,352,352,"Nussbaum, A. (1975). ‘-ī- in Latin denominative derivation’, in Watkins (ed.) 1975: 116–61."
232,Nussbaum,1986,341,341,352,352,"Nussbaum, A. (1986). Head and horn in Indo-European. Berlin: de Gruyter."
233,Nussbaum,1997,341,341,352,352,"Nussbaum, A. (1997). ‘The “Saussure effect” in Latin and Italic’, in Lubotsky, A. (ed.), Sound law and analogy (Amsterdam: Rodopi) 181–203."
234,Nussbaum,2007,342,342,353,353,"Nussbaum, A. (ed.) (2007). Verba docenti: studies in historical and Indo-European linguistics presented to Jay H. Jasanoff. Ann Arbor: Beech Stave Press."
235,Nussbaum,2010,342,342,353,353,"Nussbaum, A. (2010). ‘PIE -Cmn- and Greek τρᾱνής “clear” ’, in Kim et al. (edd.) 2010: 269–77."
236,Nussbaum,2014,342,342,353,353,"Nussbaum, A. (2014). ‘Feminine, abstract, collective, neuter plural: some remarks on each (expanded handout)’, in Neri and Schuhmann (edd.) 2014: 273–306."
237,Oettinger,1979,342,342,353,353,"Oettinger, N. (1979). Die Stammbildung des hethitischen Verbums. Nürnberg: Hans Carl."
238,Peters,1980,342,342,353,353,"Peters, M. (1980). Untersuchungen zur Vertretung der indogermanischen Laryngale im Griechischen. Vienna: Österreichische Akademie der Wissenschaften."
