section,subsection,group,entry,page_refs,notes,raw_entry,source_line_start,source_line_end
I. Protoforms,A. Proto-Indo-European,,"*bʰeyd-, *bʰidstós",20; 209; 181; 186; 120; 28,"20; [*bʰebʰóyd- ~ *bʰebʰid-́] 209; [*bʰebʰóyde] 181; *bʰéyde/o- 186; *bʰéydeti 120; *bʰinédst 28; *bʰinédsti, *bʰindénti 186","*bʰeyd-, *bʰidstós 20; [*bʰebʰóyd- ~ *bʰebʰid-́] 209; [*bʰebʰóyde] 181; *bʰéyde/o- 186; *bʰéydeti 120; *bʰinédst 28; *bʰinédsti, *bʰindénti 186",92,96
I. Protoforms,A. Proto-Indo-European,,*bʰidnós,188,188,*bʰidnós 188,97,97
I. Protoforms,A. Proto-Indo-European,,*bʰeydʰ-,188; 180; 152,188; *bʰéydʰ-e/o- 180; *bʰéydʰonti 152; *bʰebʰóydʰe 180,*bʰeydʰ- 188; *bʰéydʰ-e/o- 180; *bʰéydʰonti 152; *bʰebʰóydʰe 180,98,99
I. Protoforms,A. Proto-Indo-European,,*bʰidʰstós,188,188,*bʰidʰstós 188,100,100
I. Protoforms,A. Proto-Indo-European,,[*bʰh₃g-],213,213,[*bʰh₃g-] 213,101,101
I. Protoforms,A. Proto-Indo-European,,[*-bʰí],53,53,[*-bʰí] 53,102,102
I. Protoforms,A. Proto-Indo-European,,[*-bʰís],53-4; 225,"53-4, 225","[*-bʰís] 53-4, 225",103,103
I. Protoforms,A. Proto-Indo-European,,[*bʰloh₃-],91; 172,"91, 172","[*bʰloh₃-] 91, 172",104,104
I. Protoforms,A. Proto-Indo-European,,*bʰó-,67,67,*bʰó- 67,105,105
I. Protoforms,A. Proto-Indo-European,,[*-bʰos],53,53,[*-bʰos] 53,106,106
I. Protoforms,A. Proto-Indo-European,,*bʰrag-,12; 103,"12, 103","*bʰrag- 12, 103",107,107
I. Protoforms,A. Proto-Indo-European,,*bʰráh₂tēr,116,116,*bʰráh₂tēr 116,108,108
I. Protoforms,A. Proto-Indo-European,,[*bʰreg-],103,103,[*bʰreg-] 103,109,109
I. Protoforms,A. Proto-Indo-European,,*bʰrem-,9 fn. 4; 223,"9 fn. 4 *bʰréws- ~ *bʰrus-, [*bʰrust-́, *bʰréwstah₂] 223","*bʰrem- 9 fn. 4 *bʰréws- ~ *bʰrus-, [*bʰrust-́, *bʰréwstah₂] 223",110,112
I. Protoforms,A. Proto-Indo-European,,*bʰruHgʷ-,112,112,*bʰruHgʷ- 112,113,113
I. Protoforms,A. Proto-Indo-European,,[*bʰr̥ǵʰ-],101; 121; 190; 222,"101, 121, 190, 222; [*bʰr̥ǵʰyéti] 190","[*bʰr̥ǵʰ-] 101, 121, 190, 222; [*bʰr̥ǵʰyéti] 190",114,115
I. Protoforms,A. Proto-Indo-European,,*bʰr̥stís,100,100,*bʰr̥stís 100,116,116
I. Protoforms,A. Proto-Indo-European,,*bʰuH- (*bʰuh₂- ?),11; 35; 97; 120; 159; 220; 37; 27; 42,"11, 35, 97, 120, 159, 220; *bʰúHe/o- 37; *bʰúHt (*bʰúh₂t ?) 27, 42; *bʰuHyéh₁- ~ *bʰuHih₁-́ 37; *bʰuHye/o- 97, 120, 159; [*bʰuyéti, *bʰuyónti] 220","*bʰuH- (*bʰuh₂- ?) 11, 35, 97, 120, 159, 220; *bʰúHe/o- 37; *bʰúHt (*bʰúh₂t ?) 27, 42; *bʰuHyéh₁- ~ *bʰuHih₁-́ 37; *bʰuHye/o- 97, 120, 159; [*bʰuyéti, *bʰuyónti] 220",117,121
I. Protoforms,A. Proto-Indo-European,,*bʰuHsyé/ó-,34,34,*bʰuHsyé/ó- 34,122,122
I. Protoforms,A. Proto-Indo-European,,[*-bʰyos],53,53,[*-bʰyos] 53,123,123
I. Protoforms,A. Proto-Indo-European,,[*-bʰV́H],54,54,[*-bʰV́H] 54,124,124
I. Protoforms,A. Proto-Indo-European,,*-d (neut. nom.-acc. sg.),69,69,*-d (neut. nom.-acc. sg.) 69,125,125
I. Protoforms,A. Proto-Indo-European,,*dáḱru,12,12,*dáḱru 12,126,126
I. Protoforms,A. Proto-Indo-European,,*dayh₂wḗr,12; 87; 170; 87 fn. 3,"12, 87, 170; *dayh₂wr- 87 fn. 3","*dayh₂wḗr 12, 87, 170; *dayh₂wr- 87 fn. 3",127,127
I. Protoforms,A. Proto-Indo-European,,*dedwóye,28,28,*dedwóye 28,128,128
I. Protoforms,A. Proto-Indo-European,,[*deh₁g-],215,215,[*deh₁g-] 215,129,129
I. Protoforms,A. Proto-Indo-European,,*déh₃-no-m,209,209,*déh₃-no-m 209,130,130
I. Protoforms,A. Proto-Indo-European,,*deḱ-,10,10,*deḱ- 10,131,131
I. Protoforms,A. Proto-Indo-European,,*déḱm̥d,23; 68; 100; 105; 116; 165; 167; 229; 243; 230,"23, 68, 100, 105, 116, 165, 167, 229, 243; */déḱm̥t/ 23; [*dḱomtah₂] 230; *dḱṓmd 68, 230","*déḱm̥d 23, 68, 100, 105, 116, 165, 167, 229, 243; */déḱm̥t/ 23; [*dḱomtah₂] 230; *dḱṓmd 68, 230",132,134
I. Protoforms,A. Proto-Indo-European,,*deḱs(i)-,21; 108,"21, 108","*deḱs(i)- 21, 108",135,135
I. Protoforms,A. Proto-Indo-European,,*delǵʰ-,10,10,*delǵʰ- 10,136,136
I. Protoforms,A. Proto-Indo-European,,*dewh₂-,282,282,*dewh₂- 282,137,137
I. Protoforms,A. Proto-Indo-European,,[*dewk-],246,246,[*dewk-] 246,138,138
I. Protoforms,A. Proto-Indo-European,,*déyḱti,42; 35; 37,"42; *dḗyḱs- ~ *déyḱs- 35, 37; *déyḱse/o-, *déyḱsih₁- 37; *dḗyḱst 42","*déyḱti 42; *dḗyḱs- ~ *déyḱs- 35, 37; *déyḱse/o-, *déyḱsih₁- 37; *dḗyḱst 42",139,141
I. Protoforms,A. Proto-Indo-European,,*dʰ2pn̥óm,19; 138; 145,"19, 138, 145","*dʰ2pn̥óm 19, 138, 145",142,142
I. Protoforms,A. Proto-Indo-European,,*dl̥h₁gʰós,101; 122,"101, 122","*dl̥h₁gʰós 101, 122",143,143
