row_id	source_book_page	source_pdf_page	table	feature	Mean	SD	Lower-89CI	Higher-89CI	HDI range
279	254	273	A.34	muga	1.2	0.43	0.8	1.55	0.75
280	254	273	A.34	nafn, vatn	1.21	0.45	0.8	1.98	1.18
281	254	273	A.34	lifa	1.39	0.52	0.8	2.19	1.39
282	254	273	A.34	þrettán	1.72	0.68	0.94	2.78	1.84
283	254	273	A.34	þér	1.41	0.55	0.8	2.35	1.55
284	254	273	A.34	vega	1.29	0.57	0.8	2.17	1.37
285	254	273	A.34	sé	1.82	0.58	0.8	2.6	1.8
286	254	273	A.34	hann	1.24	0.45	0.8	1.76	0.96
287	254	273	A.34	nǫkkurr	1.27	0.5	0.8	1.92	1.12
288	254	273	A.34	gøra	1.29	0.47	0.8	1.9	1.1
289	254	273	A.34	ugga	1.18	0.43	0.8	1.66	0.86
290	254	273	A.34	gamall	1.3	0.43	0.8	1.92	1.12
291	254	273	A.34	karl	1.51	0.61	0.8	2.39	1.59
292	254	273	A.34	eigi	1.43	0.49	0.8	2.23	1.43
293	254	273	A.34	kjǫt	1.4	0.57	0.8	2.42	1.62
294	254	273	A.34	eldr	1.46	0.59	0.8	2.4	1.6
295	254	273	A.34	margr	1.35	0.51	0.8	2.14	1.34
296	254	273	A.34	∗p, ∗t, ∗k > pf, ʒ, hh	1.25	0.52	0.8	2.23	1.43
297	254	273	A.34	∗w > ∅/ _ r, l	1.53	0.55	0.8	2.31	1.51
298	255	274	A.35	joh	1.22	0.41	0.8	1.77	0.97
299	255	274	A.35	∗e > i / _ u	1.44	0.54	0.8	2.18	1.38
300	255	274	A.35	∗CC > C	1.38	0.42	0.8	2.03	1.23
301	255	274	A.35	∗h- > ∅/ # _ C	1.13	0.34	0.8	1.57	0.77
302	255	274	A.35	∗-hw-, ∗-h- > -h-	1.35	0.41	0.8	1.88	1.08
303	255	274	A.35	∗-i- > ∅	1.33	0.49	0.8	2.07	1.27
304	255	274	A.35	∅> -h-	1.17	0.45	0.8	1.84	1.04
305	255	274	A.35	i-umlaut	1.19	0.38	0.8	1.67	0.87
306	255	274	A.35	∗ē > ie	1.13	0.4	0.8	1.74	0.94
307	255	274	A.35	-e > -ea, -ia > -a	1.14	0.41	0.8	1.61	0.81
308	255	274	A.35	∗au > ou; ∗ai > ei; ∗eu > iu	1.2	0.4	0.8	1.8	1
309	255	274	A.35	∗ō > uo	1.34	0.54	0.8	2.1	1.3
310	255	274	A.35	∗au > ō	1.72	0.53	0.8	2.5	1.7
311	255	274	A.35	V > ∅/ _(C)#	1.26	0.42	0.8	1.96	1.16
312	255	274	A.35	-w > -o	1.43	0.59	0.8	2.29	1.49
313	255	274	A.35	ao > ō	1.41	0.51	0.8	2.16	1.36
314	255	274	A.35	CR# > CVR#	1.29	0.5	0.8	2.12	1.32
315	255	274	A.35	∅> V / l/r _ h/w	1.37	0.54	0.8	2.21	1.41
316	255	274	A.35	ga- > gi-	1.49	0.55	0.82	2.28	1.46
317	255	274	A.35	∗i > ∗e / _ [+lab./+vel.] [+voc., -hi]	1.39	0.55	0.8	2.14	1.34
318	255	274	A.35	V1 > V2 / _ CV2(C)	1.38	0.48	0.8	2	1.2
319	255	274	A.35	∗i > e / [-high] C0 _	1.41	0.56	0.8	2.31	1.51
320	255	274	A.35	∗-ō > -u	1.4	0.57	0.8	2.32	1.52
321	256	275	A.36	eo > io	1.43	0.48	0.82	2	1.18
322	256	275	A.36	-m > -n	1.28	0.46	0.8	1.92	1.12
323	256	275	A.36	iu > [yː]	1.13	0.41	0.8	1.74	0.94
324	256	275	A.36	sk	1.5	0.57	0.8	2.48	1.68
