row_id,source_book_page,source_pdf_page,table,innovation,GO,ON,OE,OF,OS,OHG,VAND,BURG
266,232,251,A.12,"3sg., 2sg. > 2sg.",0,1,0,0,0,0,?,?
267,232,251,A.12,∗-usi/∗-isi > -r,0,1,0,0,0,0,?,?
268,232,251,A.12,góðir,0,1,0,0,0,0,?,?
269,232,251,A.12,koma,0,1,0,0,0,0,?,?
270,232,251,A.12,cl. IV weak verbs > cl. II,0,1,0,0,0,0,?,?
271,232,251,A.12,-u(-),0,1,0,0,0,0,?,?
272,232,251,A.12,-ar,0,1,0,0,0,0,?,?
273,232,251,A.12,-inn,0,1,0,0,0,0,?,?
274,232,251,A.12,-sk,0,1,0,0,0,0,?,?
275,232,251,A.12,a-stems,0,1,0,0,0,0,?,?
276,232,251,A.12,i-stems,0,1,0,0,0,0,?,?
277,233,252,A.13,Cons. stems,0,1,0,0,0,0,?,?
278,233,252,A.13,an-stems,0,1,0,0,0,0,?,?
279,233,252,A.13,muga,0,1,0,0,0,0,?,?
280,233,252,A.13,"nafn, vatn",0,1,0,0,0,0,?,?
281,233,252,A.13,lifa,0,1,0,0,0,0,?,?
282,233,252,A.13,þrettán,0,1,1,0,0,1,?,?
283,233,252,A.13,þér,0,1,0,0,0,0,?,?
284,233,252,A.13,vega,0,1,0,0,0,0,?,?
285,233,252,A.13,sé,0,1,1,0,0,1,?,?
286,233,252,A.13,hann,0,1,0,0,0,0,?,?
287,233,252,A.13,nǫkkurr,0,1,0,0,0,0,?,?
288,233,252,A.13,gøra,0,1,0,0,0,0,?,?
289,233,252,A.13,ugga,0,1,0,0,0,0,?,?
290,233,252,A.13,gamall,0,1,0,0,0,0,?,?
291,233,252,A.13,karl,0,1,0,0,0,0,?,?
292,233,252,A.13,eigi,0,1,0,0,0,0,?,?
293,233,252,A.13,kjǫt,0,1,0,0,0,0,?,?
294,233,252,A.13,eldr,0,1,0,0,0,0,?,?
295,233,252,A.13,margr,0,1,0,0,0,0,?,?
296,233,252,A.13,"p, ∗t, ∗k > pf, ʒ, hh",0,0,0,0,0,3,0,0
297,233,252,A.13,"∗w > ∅/ _ r, l",0,0,0,0,0,1,?,?
298,233,252,A.13,joh,0,0,0,0,0,1,0,?
299,233,252,A.13,∗e > i / _ u,0,0,0,0,0,1,1,?
300,234,253,A.14,∗CC > C,0,0,0,0,0,1,?,?
301,234,253,A.14,∗h- > ∅/ # _ C,0,0,0,0,0,1,?,0
302,234,253,A.14,"∗-hw-, ∗-h- > -h-",1,0,0,0,0,1,?,?
303,234,253,A.14,∗-i- > ∅,0,0,0,0,0,1,?,?
304,234,253,A.14,∅> -h-,0,0,0,0,0,1,?,?
305,234,253,A.14,i-umlaut,0,0,0,0,0,1,0,0
306,234,253,A.14,∗ē > ie,0,0,0,0,0,1,0,0
307,234,253,A.14,"-e > -ea, -ia > -a",0,0,0,0,0,1,?,?
308,234,253,A.14,∗au > ou; ∗ai > ei; ∗eu > iu,0,0,0,0,0,1,0,0
309,234,253,A.14,∗ō > uo,0,0,0,0,0,1,0,0
310,234,253,A.14,∗au > ō,1,1,0,0,1,1,0,0
311,234,253,A.14,V > ∅/ _(C)#,0,0,0,0,0,1,?,?
312,234,253,A.14,-w > -o,0,0,0,0,0,1,?,?
313,234,253,A.14,ao > ō,0,0,0,0,1,1,?,?
314,234,253,A.14,CR# > CVR#,0,0,0,0,1,1,?,?
315,234,253,A.14,∅> V / l/r _ h/w,0,0,0,0,0,1,?,?
316,234,253,A.14,ga- > gi-,0,0,0,0,0,1,?,?
317,234,253,A.14,"∗i > ∗e / _ [+lab./+vel.] [+voc., -hi]",0,0,0,0,0,1,?,?
318,234,253,A.14,V1> V2 / _ CV2(C),0,0,0,0,0,1,?,?
319,234,253,A.14,∗i > e / [-high] C0,0,0,0,0,0,1,?,?
320,234,253,A.14,∗-ō > -u,0,0,0,0,0,1,?,?
321,234,253,A.14,eo > io,0,0,0,0,0,1,?,?
322,234,253,A.14,-m > -n,0,0,0,0,0,1,?,?
323,235,254,A.15,iu > [ӯ],0,0,0,0,0,1,?,?
324,235,254,A.15,sk,0,0,0,0,0,1,0,0
325,235,254,A.15,-V > -e,0,0,0,0,0,1,?,?
326,235,254,A.15,∗þ > [t],0,0,0,0,0,1,?,?
327,235,254,A.15,∗-dē > ∗-dō,0,0,0,0,0,1,?,?
328,235,254,A.15,"∗-dum > ∗-dōm, etc.",0,0,0,0,0,1,?,?
329,235,254,A.15,∗-anu,0,0,1,1,1,1,?,?
330,235,254,A.15,-īs,0,0,0,0,1,1,?,?
331,235,254,A.15,1g. -m,0,0,0,0,0,1,?,?
332,235,254,A.15,∗-zz- > -zt-,0,0,0,0,0,1,?,?
333,235,254,A.15,-amu ~ -emu,0,0,0,0,0,1,?,?
334,235,254,A.15,∗-u > ∅/ [+light] _,0,0,0,0,1,1,?,?
335,235,254,A.15,∅> -u / [+heavy] _,0,0,0,0,1,1,?,?
336,235,254,A.15,zi ērist,0,0,0,0,0,1,?,?
337,235,254,A.15,Abstracts in -ī,0,0,0,0,0,1,?,?
338,235,254,A.15,habēta,0,0,0,0,0,1,?,?
339,235,254,A.15,u-stem > i-stem,0,0,0,0,0,1,?,?
340,235,254,A.15,-ēs,0,0,0,0,0,1,?,?
341,235,254,A.15,∗þrīz > drī,0,0,0,0,0,1,?,?
342,235,254,A.15,"-ōnne, -ēnne",0,0,0,0,0,1,?,?
343,235,254,A.15,∗-ai-,0,0,0,0,0,1,?,?
344,235,254,A.15,"nom. pl., acc. pl. > acc. pl.",0,0,0,0,0,1,?,?
345,235,254,A.15,-er-,0,0,0,0,0,1,?,?
346,236,255,A.16,-o,0,0,0,0,0,1,?,?
347,236,255,A.16,"1g., 3sg. indic. > 3sg.",0,0,0,0,1,1,?,?
348,236,255,A.16,2sg. -s > -st,0,0,0,0,0,1,?,?
349,236,255,A.16,-ōno,0,0,0,0,1,1,?,?
350,236,255,A.16,dual > ∅,0,0,0,0,0,1,?,?
351,236,255,A.16,-u > -o,0,0,0,0,0,1,?,?
352,236,255,A.16,-in > -en,0,0,0,0,0,1,?,?
353,236,255,A.16,fem. jō-stems ~ ī-stems,0,0,0,0,0,1,?,?
354,236,255,A.16,ō-stems,0,0,0,0,0,1,?,?
355,236,255,A.16,n-stems,0,0,0,0,0,1,?,?
356,236,255,A.16,∗CReC- > class IV,0,0,0,0,0,1,?,?
357,236,255,A.16,-ta,0,0,0,0,1,1,?,?
358,236,255,A.16,∗þi- ~ ∗þe-,0,0,0,0,1,1,?,?
359,236,255,A.16,∗hwi- ~ ∗hwe-,0,0,0,0,1,1,?,?
360,236,255,A.16,sīn,0,0,0,0,0,1,?,?
361,236,255,A.16,wellen,0,0,0,0,0,1,?,?
362,236,255,A.16,imu,0,0,0,0,1,1,?,?
363,236,255,A.16,sāhun,0,0,0,0,0,1,?,?
364,236,255,A.16,"fateres, fatere, etc.",0,0,0,0,0,1,?,?
365,236,255,A.16,∗drī + o,0,0,0,0,0,1,?,?
366,236,255,A.16,zi,0,0,0,0,0,1,?,?
367,236,255,A.16,ir(-),0,0,0,0,0,1,?,?
368,236,255,A.16,doret,0,0,0,0,0,1,?,?
369,237,256,A.17,inan > in,0,0,0,0,0,1,?,?
370,237,256,A.17,drīzehan,0,0,0,0,0,1,?,?
371,237,256,A.17,(h)we-,0,0,0,0,0,1,?,?
372,237,256,A.17,sī,0,0,0,0,0,1,?,?
