entry_id	pdf_page_start	entry_heading	field	flags	sample
50	49	alō, -ere	ie_cognates	contains-greek;contains-laryngeal	Olr. no-rail, pret. -alt 'to feed, raise', MW alu, MBret. halaff 'to calve', Olr. comaltae 'comrade', MW cyfeillt 'serf, W. cyfaill *friend'(< ^komal^tio-), Gr. άναλτος 'insatiable', όλδαίνω 'to make grow, strengthen' (< *h₂elrd-\ νεαλής 'fresh, powerful, rested' (< *νεο-αλ-ής 'newly fed'), Go. OE alan (pret. ol) 'to grow up', OIc. ala, OE alan 'to raise', Go. alands 'growing up', alips 'fattened'
50	49	alō, -ere	bibliography	contains-laryngeal	WH I: 14, 3If., EM 3f., 23f., IEW 26-28, Leumann 1977 passim, Schrijver 1991: 42,66, LIV *h₂el-. → adoleo, -oles
51	50	altus	proto_italic	contains-laryngeal	*a/to- 'high₁.
52	50	alūmen, -inis	pie	contains-laryngeal	*h₂el- 'to feed'; hence, it might have belonged to a European substratum language.
52	50	alūmen, -inis	ie_cognates	contains-greek	Gr άλύδ(ο)ιμον 'sharp, bitter (in Sophron)' (Hsch.); Lith. alus 'beer', RuCS ORu* oh 'fermented liquor, strong drink' < BSl. *<?/«-; OIc. gl [n.] 'beer, drink feast', OE ealu(d) [n.], MDu. aal 'beer', OS alo-fat, MHG aLschqf'drinking bowl' < PGm. **/«(£> 'beer'. The word alum refers to the plant Symphytum officinale, the medicinal effects (especially the healing of wounds) of which were known to P
53	50	alvus	entry_text	contains-greek	alvus 'belly; bee-hive (Varro+), hull (of a ship) (Tac.)' [f (m.) ο] (Pl.+; m. gender is older, occurring from Plautis to Laberius)
53	50	alvus	pie	contains-greek;contains-laryngeal	*h₂eulo- 'tube, cavity'. *h₂eul-o-, -io-. The connection of alvus with Gr. and BSl. requires a metathesis of *aulos to *alwos. There is no other example in Latin with /, but there are two with η nervus < *neuros and parvus < *pauros.
53	50	alvus	ie_cognates	contains-greek;contains-laryngeal	Hit. auli- [c] 'tube-shaped organ in the neck' (< *h₂ouli-); Gr. αυλός [m.] 'hollow tube, pipe, flute'; OPr. aulis 'shin', Lith. aulasy Latv. aule 'leg of a boot', Lith. aulys, Latv. aulis, RuCS ulii '(bee)hive', Sin. ulj 'hollow tree, (bee)hive', Ru. ulica 'hollow road' <
54	51	U. am-, an-, an-, Ο. ανα-	entry_heading	contains-greek	U. am-, an-, an-, Ο. ανα-
54	51	U. am-, an-, an-, Ο. ανα-	entry_text	contains-greek	U. am-, an-, an-, Ο. ανα- 'up, onto' [prep.]: in U. atn-paritu, atn-pentu, an-seriato, an-stintu, an-stiplatu, an-tentu, Ο. ανα:Αακετ.
54	51	U. am-, an-, an-, Ο. ανα-	pie	contains-laryngeal	*h₂en-(e)h₂ 'up\
54	51	U. am-, an-, an-, Ο. ανα-	ie_cognates	contains-greek	Olr. an- 'from', as in anall [adv.] 'thence1, anis 4 from below', aniar 'from the west' < PCX *an(V)-; Gr. άνά [adv., prep,] 'up along'; Go. ana [prep.], Olc. d, OHG an(a) , OE on 'on' < PGm. *ana. Unrelated are: Lat. anhelare (from *anelos 'breath'), antestari (if from *anti-testan), anquirere (from *ambi-quaerere\
55	51	amarus	entry_text	contains-greek	amarus 'bitter' [adj. ο/α] (Pl.+)
55	51	amarus	pie	contains-laryngeal	*h₂h₃m-ro-? *hiem~ro-. In that case, Latin must have replaced the suffix *-ro- by *-aro-. Thus, some details remain unclear. It is also possible to reconstruct earlier *om- 'raw' for Italo-Celtic, and posit unrounding of *#omV- >amV-as per Rasmussen 1993: 181.
55	51	amarus	ie_cognates	contains-greek;contains-laryngeal	Skt. amla- 'sour, acid', OIc. apr 'sharp, cold', OE ampre 'sour one', MDu, amper 'bitter, sour'< PGm. *am(p)ra- csour'; ? Olr. om 'raw', W. o/possibly <*h₂hremo-, Skt. a/wi- [adj.] 'raw, uncooked', Gr. ωμός 'raw\ Arm. howm <*h₂eh₃mo-* The suffix -arus is only attested as a primary derivative in avarus 'greedy5 to aveo, but there is no verb to which amarus might belong. Kortlandt 1980a connects it 
56	51	ambi-, amb-, am-, an-	pie	contains-laryngeal	*h₂mbʰi 'to, around'.
56	51	ambi-, amb-, am-, an-	ie_cognates	contains-greek;contains-laryngeal	Gaul, ambi-, Olr. imb- [pref ] 'around'; Skt. abhi 'to, towards, against, upon', abhi°'surrounded by, directed to, very', OAv. aibi, YAv. aifii, auui, OP abiy [adv., prev.] 'towards, against, upon', Gr. άμφί [adv, prep.] 4 on both sides, around', OHG umbi, OIc. umby OEymb,ymbe 'around\ EM mentions alleged traces of the independent use of am as a preposition (in glosses amfines;am segetes, in Paul,
57	52	ambō, -ae, -ō 'both'	pie	contains-laryngeal	*h₂(e)nt-bhoH 'both'.
57	52	ambō, -ae, -ō 'both'	ie_cognates	contains-greek;contains-laryngeal	Skt. ubhd, ubhau [du.rn.], ubhe [du.f] 'both', ubhaya- [adj.] 'on both sides, in both ways', OAv, uba-, YAv. uua- 'both* < *(h₂u-)bhoH-; Gr. αμφω; Lith. abu, OCS oba, obe; Go. bai [m.], ba [n.] 'both', bajops, OSfo?fA/e, OE ba pa, OHG ie/de, bede, OIc. Md/r, gen. beggja; ToA ampt, ToB <5H£?/, antapi 'both'. The ending -d reflects the PIE ending of the dual. Greek, Latin and Tocharian show an initi
59	52	ambulō, -āre	pie	contains-laryngeal	*h₂elh₂- / *h₂lh₂- [pr.] 'to wander'.
59	52	ambulō, -āre	ie_cognates	contains-greek;contains-laryngeal	"Gr. άλάομαι 'to wander, roam', Latv. aluot 'to roam"". Lat. (amb)ulare and Umbrian *ala- can both continue a PIE root present *h₂elh₂- > *ala-. Since presents in -ere are often replaced by the α-conjugation in a compound (e.g. in sternere : consternare), the sg. *alati may lie at the basis of ambulare; similarly Schrijver 199L An additional argument for *ala- can be found in alacer, see s.v."
59	52	ambulō, -āre	bibliography	contains-laryngeal	WH I: 38, EM 27, IEW 27f, Meiser 1986: 270, Schrijver 1991: 40, 400ff., Rix 1999: 525, Meiser 2003: 70, LIV *h₂elh₂-. → alacer, palor
60	53	amma	pie	contains-laryngeal	*h₂em(m)-h₂.
